State,Amount
Alabama,11011.13
Alaska,8587.99
Arizona,11878.86
Arkansas,9065.85
California,9937.46
Colorado,11419.2
Connecticut,14136.09
Delaware,13599.67
District of Columbia,8636
Florida,6366.23
Georgia,8789.62
Hawaii,10988.48
Idaho,7998.52
Illinois,14417.8
Indiana,9784.23
Iowa,9368.86
Kansas,9364.33
Kentucky,11001.5
Louisiana,9915.45
Maine,10747.39
Maryland,10131.8
Massachusetts,13832.74
Michigan,13957.25
Minnesota,11935.68
Mississippi,8641.54
Missouri,9241.66
Montana,7396.24
Nebraska,9083.58
Nevada,8292.2
New Hampshire,16964.17
New Jersey,14380.12
New Mexico,8118.04
New York,8503.58
North Carolina,7263.1
North Dakota,9689.72
Ohio,11674.86
Oklahoma,8973.08
Oregon,11874.33
Pennsylvania,14988.51
Puerto Rico,4298.64
Rhode Island,13627.38
South Carolina,13062.13
South Dakota,9105.73
Tennessee,10377.92
Texas,10807.11
Utah,7253.7
Vermont,17507.83
Virginia,13861.54
Washington,10563.8
West Virginia,8571.7
Wisconsin,9116.07
Wyoming,5792
