Week,Link,Due,Required,Task,Module,Chapters
1,<a href='/modules/01-module/'>Week 1</a>,8/30/22,checked,unchecked,Introduction to R,Intro to basics
1,,,,,,Vectors
1,,,,,,Matrices
1,,,,,,Factors
1,,,,,,Data Frames
1,,,,,,Lists
1,,,,,,
2,<a href='/modules/01-module/'>Week 1</a>,8/30/22,checked,unchecked,Introduction to R,Intro to basics
2,,,,,,Vectors
2,,,,,,Matrices
2,,,,,,Factors
2,,,,,,Data Frames
2,,,,,,Lists
2,,,,,,
3,<a href='/modules/02-module/'>Week 2</a>,9/6/22,checked,unchecked,Introduction to the Tidyverse,Data wrangling
3,,,,,,Data visualization
3,,,,,,Grouping and summarizing
3,,,,,,Types of visualizations
3,,,,,,
4,<a href='/modules/02-module/'>Week 2</a>,9/6/22,checked,unchecked,Introduction to Data Visualization with ggplot2,Explore your data
4,,,,,,Tame your data
4,,,,,,Tidy your data
4,,,,,,Transform your data
4,,,,,,
5,<a href='/modules/02-module/'>Week 2</a>,9/6/22,checked,unchecked,Introduction to Data Visualization with ggplot2,Explore your data
5,,,,,,Tame your data
5,,,,,,Tidy your data
5,,,,,,Transform your data
5,,,,,,
6,<a href='/modules/03-module/'>Week 3</a>,9/20/22,checked,checked,Intermediate Data Visualization with ggplot2,Statistics
6,,,,,,Coordinates
6,,,,,,Facets
6,,,,,,Best Practices
6,,,,,,
7,<a href='/modules/03-module/'>Week 3</a>,9/20/22,checked,checked,Intermediate Data Visualization with ggplot2,Statistics
7,,,,,,Coordinates
7,,,,,,Facets
7,,,,,,Best Practices
7,,,,,,
8,<a href='/modules/04-module/'>Week 4</a>,10/4/22,checked,unchecked,Visualization Best Practices in R,Proportions of a whole
8,,,,,,Point data
8,,,,,,Single distributions
8,,,,,,Comparing distributions
8,,,,,,
9,<a href='/modules/04-module/'>Week 4</a>,10/4/22,checked,unchecked,Visualization Best Practices in R,Proportions of a whole
9,,,,,,Point data
9,,,,,,Single distributions
9,,,,,,Comparing distributions
9,,,,,,
10,<a href='/modules/05-module/'>Week 5</a>,10/18/22,checked,unchecked,Unsupervised Learning in R,Unsupervised Learning in R
10,,,,,,Hierarchical clustering 
10,,,,,,Dimensionality reduction with PCA 
10,,,,,,Putting it all together with a case study
10,,,,,,
11,<a href='/modules/06-module/'>Week 6</a>,11/1/22,checked,checked,Introduction to Text Analysis in R,Wrangling Text
11,,,,,,Visualizing Text
11,,,,,,Sentiment Analysis
11,,,,,,Topic Modeling
11,,,,,,
12,<a href='/modules/07-module/'>Week 7</a>,11/15/22,checked,unchecked,Communicating with Data in the Tidyverse,Custom ggplot2 themes
12,,,,,,Creating a custom and unique visualization
12,,,,,,Introduction to Rmarkdown
12,,,,,,Customizing your RMarkdown report
12,,,,,,
13,<a href='/modules/08-module/'>Week 8</a>,11/29/2022,checked,unchecked,Analyzing Social Media Data in R,Understanding Twitter data
13,,,,,,Analyzing Twitter data
13,,,,,,Visualize Tweet texts
13,,,,,,Network Analysis and putting Twitter data on the map
13,,,,,,
Extra Credit 1,<a href='/modules/ec-module/'>Extra Credit</a>,12/9/22,unchecked,checked,Network Analysis in the Tidyverse,The hubs of the network
Extra Credit 1,,,,,,In its weakness lies its strength
Extra Credit 1,,,,,,Connection patterns 
Extra Credit 1,,,,,,Similarity clusters
Extra Credit 1,,,,,,
Extra Credit 2,<a href='/modules/ec-module/'>Extra Credit</a>,12/9/22,unchecked,checked,Supervised Learning in R: Classification,k-Nearest Neighbors (kNN)
Extra Credit 2,,,,,,Naive Bayes
Extra Credit 2,,,,,,Logistic Regression
Extra Credit 2,,,,,,Classification Trees
Extra Credit 2,,,,,,
Extra Credit 3,<a href='/modules/ec-module/'>Extra Credit</a>,12/9/22,unchecked,checked,Predictive Analytics using Networked Data in R,"Introduction, networks and labelled networks"
Extra Credit 3,,,,,,Homophily
Extra Credit 3,,,,,,Network Featurization
Extra Credit 3,,,,,,Putting it all together
Extra Credit 3,,,,,,
Recommended 3,<a href='/modules/rec-module/'>Recommended</a>,12/9/22,unchecked,unchecked,Intermediate R,Conditionals and Control Flow 
Recommended 3,,,,,,Loops
Recommended 3,,,,,,Functions
Recommended 3,,,,,,The apply family
Recommended 3,,,,,,Utilities
