Category,January,February,March,Type
Abstract Accepted,1,0,0,Products
Abstract Submitted,1,3,0,Products
Community Advisory Board Feedback Request,0,0,0,
Community Advisory Board Meeting,2,1,0,Products
Community Engagement and Training,8,21,9,Services
Consultation,3,5,6,Services
CORE Selected,0,0,1,PBRN Activities
CORE Survey Submissions,0,1,0,PBRN Activities
Grant Awarded,0,0,0,Products
Grant Submission,0,0,1,Products
Ideas on Deck,0,0,0,
Policy Briefs and Community Results,0,0,0,Products
Practice Change,0,0,0,
Presentation,1,2,3,Products
Project Accepted,0,0,0,PBRN Activities
Project Accepted by the WVPBRN,0,0,1,Services
Project Development,56,56,14,Services
Project Implementation,110,101,145,Services
Project Reviewed by WVPBRN Protocol ...,0,0,1,Services
Project Submission,0,0,0,PBRN Activities
Publication Accepted,2,2,0,Products
Publication Submitted,2,1,1,Products
Systems Change,0,0,0,Products
Translational and Dissemination,13,19,8,Services
WV Project ECHO Operations and Planning,57,47,36,Services
WV Project ECHO Session,20,26,28,Services
WVPBRN Engagement and Training,4,7,6,Services
