ID,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q19,Q19_25_TEXT,Q20_NPS_GROUP,Q20,Q21,Q22,Q23a,Q23b,Q23c,Q23d,Q23e,Q23f,Q23g,Q23h,Q23i,Q23j,Q24,Q24_6_TEXT,Q25
1,Q1 - Session,Q2 - Biohazard Safety Training,Q3 - Human Subjects Research & Ethical Conduct in Research,Q4 - Bench to Bedside: Conducting Translational Research,Q5 - Developing and Refining your Elevator Pitch,Q6 - An Introduction to NIH Grants: Steps to a Competitive Application,Q7 - Presenting Your Research Poster,Q8 - WVCTSI Research Scholar Panel Discussion,Q9 - Capstone: Journey as a Physician Scientist,Do you have suggestions for how students can stay engaged in research throughout their training?,"Thank you! Please tell us your thoughts even if you chose Unsure in the last question.

 

If you do not have an opinion, please leave this page blank and select Next.",Please let us know how you rate the overall experience of working on the summer research assignment(s).,"Please tell us why you gave an experience a rating of [QID43-ChoiceGroup-SelectedChoices].




If you do not have an opinion, please leave this page blank and select Next.",Were there sufficient networking opportunities for interacting with the other summer research fellows?,"Please tell us what types of peer networking activities you would be interested in.

 

If you do not have an opinion, please leave this page blank and select Next.","What do you feel was the best overall aspect of the INTRO program? 

 

If you do not have an opinion, please leave this page blank and select Next.",Do you plan to seek a career as a clinical scientist?,How much did each of the following INTRO activities influence your decision to seek a career as a clinician scientist? - The weekly seminars,How much did each of the following INTRO activities influence your decision to seek a career as a clinician scientist? - Your research project,How much did each of the following INTRO activities influence your decision to seek a career as a clinician scientist? - Time in the laboratory,Which of these was your home institution in 2019? - Selected Choice,Which of these was your home institution in 2019? - Other (please specify): - Text,"On a scale from 0-10, how likely are you to recommend the INTRO program to your peers? - Group","On a scale from 0-10, how likely are you to recommend the INTRO program to your peers?","What do you think would make the INTRO program more attractive to your peers?

 

If you do not have an opinion, please leave this page blank and select Next.","What recommendations do you have to improve the program for those individuals specifically for students not from WVU?

 

If you do not have an opinion, please leave this page blank and select Next.",1st.,2nd.,3rd.,4th.,5th.,6th.,7th.,8th.,9th.,10th.,Please let us know where you are now in your career. - Selected Choice,Please let us know where you are now in your career. - Other (please explain): - Text,"At this time, if you have any other comments regarding your experience, please include them in the text box below.

 

If you do not have an opinion, please leave this page blank and select Next."
2,, Good, Good,Very Good,I did not attend this session,Fair, Good,Fair, Good,Unsure,"I think it's important to keep consistent contact with your PI, and make a to-do list to make sure you accomplish at least something each day. ",Fair,,Yes,"I enjoyed the weekly enrichment sessions, I think it was a great way to meet other students doing research. ",,Unsure,,,,,,Passive,8,,,,,,,,,,,,,MS 2,,"Thanks to Sarah and Jodie for organizing INTRO this past summer, I know it was difficult with COVID, but you did your best, and I think mostly everyone had a positive experience. "
3,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Yes,"Be involved with research that you care about. If you are looking for answers to questions that mean something to you, it is a lot easier to be excited about your work. ",Very Good,,Yes,,The enrichment sessions that helped advise our career choices were very helpful to me.,Yes,Significant Influence, Strong Influence, Strong Influence,,,Promoter,10,,,,,,,,,,,,,MS 2,,This was a lovely and important experience for me. I do not think that very much needs to change about it. 
4,, Good,Very Good, Good, Good, Good,I did not attend this session,Very Good,Very Good,No,,Very Good,,Yes,,,Unsure,,,,,,Passive,8,,,,,,,,,,,,,Other (please explain):,P2,
5,, Good,Very Good,Very Good,Very Good, Good,Very Good,Very Good,Very Good,Yes,"Being proactive and engaged in the research topics being studied is important, and making sure to read up on any papers suggested by the lab.",Very Good,,Unsure,,The best aspect for me was being able to take time off from medical school and being able to commit time to research for a certain amount of time.  It allowed me to apply some of the knowledge I acquired during the school year to research and learn about it in more detail.,Unsure,,,,,,Passive,8,I think reaching out to more physicians and researchers to provide a wider variety of options as mentors would be more attractive to the students.,,More extracurricular opportunities,,,,,,,,,,MS 2,,
6,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,I did not attend this session,Yes,Keep in contact with INTRO program's PI throughout the year or just work on little project with them. Stay present through emails with them. ,Very Good,I learned a lot and was able to immerse myself in the experience since it was over summer. The workshops like the poster making exercise helped me during my research. ,Yes,,,Unsure,,,,,,Promoter,10,,,Better lunch options that are more filling and better balanced meals ,,,,,,,,,,,,
7,, Good, Good,Very Good, Good,Fair, Good,Very Good, Good,No,, Good,My mentor was awesome. I have continued to work with him this fall. It really established some experience and a working relationship,Yes,manuscript writing,establishment of relationships,Unsure,,,,,,Passive,7,availability of more projects ,,,,,,,,,,,,MS 2,,
8,,Very Good,Very Good,Very Good,Very Good, Good,I did not attend this session,Fair,Very Good,Yes,"After forming relationships with the researchers involved with the INTRO program, I think it is best for the student to take initiative to continue reaching out and staying in communication with them. The INTRO program allows for those relationships to be initially formed.",Very Good,"I had a great time at the lab that I worked in regarding the other members and scope of the work. Although I would not probably engage in the exact same research, I thought that it was a great experience and helped me to learn so much about research and develop critical thinking skills.",No,Maybe just more time to discuss and have a conversation about the work in which everyone was involved. It was interesting to hear about other research and could potentially spark an interest in others about switching to that kind of research etc.,I believe that the best aspect was working with the research faculty in the particular lab. I loved being able to form relationships with the members of the lab and have the opportunity to learn from them and enhance my own techniques regarding executing a research goal.,Unsure,,,,,,Promoter,10,,,,,,,,,,,,,MS 2,,
9,,Very Good,Very Good,Very Good, Good, Good, Good,Very Good,Very Good,Unsure,,Poor ,There was a multitude of communication problems and almost no in person interaction between myself and my mentor. Our IRB was approved the last day of the program and as such could not work on the project at all. ,Yes,Just talking to other students during enrichment sessions and having everyone give their elevator pitches to show off what they are involved in. ,The enrichment sessions. ,Unsure,,,,,,Passive,7,,No suggestions. Enrichment sessions were offered over zoom as well as in person. I cannot speak for those who did not attend WVU. ,Regular checkups for mentor-mentee pairs to ensure they are on track. ,Possibly a detailed contract between mentor-mentee pairs that lays out expectations clearly and specifically. ,Have pairs create a structured work timeline with realistic goals and checkpoints. ,,,,,,,,Other (please explain):,P3 PharmD,
10,, Good,Very Good, Good, Good,Very Good,Very Good, Good,I did not attend this session,No,,Fair,,Yes,,The best aspect was the ability to gain a research opportunity,Unsure,,,,,,Passive,8,,,,,,,,,,,,,Other (please explain):,pharmacy,
11,,,,,,,,,,No,, Good,A good opportunity to get involved with research while not in classes.,Yes,,Connections with a mentor.,Unsure,,,,,,Promoter,10,"A presentation at the end of the summer, not having to present in the spring. ",,presentation date,,,,,,,,,,Other (please explain):,Pharmacy Student,
12,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No,,Very Good,"The INTRO program was exactly what I was looking for and was the best thing that's happened to me in my training.  Coming from a background of no research in college, the educational sessions gave me a much better idea of how the world of research works.

I also cannot praise my mentor, Dr. Dietz, enough.  He worked with me every step of the way throughout my project.  He set realistic goals for the amount of time and my level of training.  Going into the INTRO program, I saw research as a box that I had to tick for residency.  After working Dr. Dietz I am very excited about continuing to hone my skills and continue to work in some aspect of research throughout the rest of my training.",Yes,,"The INTRO program was perfect for a student without research such as myself.  I have not stopped telling all of the first year students how wonderful my experience was.  Between the educational lectures and my mentor, I had a wonderful experience.",Unsure,,,,,,Promoter,10,"More ""advertising"".  I feel that we could really expand the program by showcasing INTRO students in email newsletters and social media.  In addition to this I would recommend having informational sessions more early and often for the 1st year students.",,,,,,,,,,,,MS 2,,Thank you so much for allowing me to participate in the INTRO program this year.  I really enjoyed my time and hope to continue to see it grow in the future.
13,, Good,Very Good,Very Good, Good, Good, Good,Very Good, Good,Unsure,,Very Good,,No,,,Unsure,,,,,,Passive,8,,,,,,,,,,,,,MS 2,,
14,,Very Good,Very Good,Very Good,I did not attend this session, Good,Very Good,Very Good,Very Good,Yes,"I think the biggest thing is to continue to stretch your comfort zone and engage the research faculty at WVU. You're now a graduate student and these individuals are too busy to target students for research opportunities. However, they are extremely friendly and can always use help on projects, so continue to reach out to PI's with who you are, why you think you could help in their projects, and asking them to be involved in their research. ", Good,"I think that I got really valuable new bench research experience. I ran projects and engaged in techniques I had no previous experience with and really grew as a researcher. However, I feel like there were some shortcomings in my research. I would have liked more opportunities to improve my writing and presentation skills and I feel like I did not get opportunities to do this. I also wish I would have some more personalized mentorship from my PI but my interactions with them were limited. ",Yes,"I think that the weekly presentations and seminars were awesome. There I could hear from others about their research throughout the summer and engage faculty researchers at WVU who were presenting. It was also nice getting lunch afterwards to spend some time with other students and ask more detailed questions about their research. I would like to see a pre-program get together before we start our research to build relationships before walking in for our first lecture. However, I really enjoyed the weekly structured engagement. ",I feel like it was getting closer with other individuals in my lab. It was a great networking opportunity and I got to learn how to work in a team environment in the research lab. ,Unsure,,,,,,Passive,8,"I think having more clear avenues to interacting with the PIs signed up for the program would be helpful. It is somewhat impersonal to just provide a list of researchers and allowing students to reach out to individuals by themselves. As medical students, it is extremely difficult to schedule multiple meetings to explore different researchers and their projects during the spring curriculum. It would be nice to almost have a research fair where the PIs can come and present their research to students interested allowing us to have a one-time opportunity to see the PI's personalities and projects of interest. ",I think allowing them to have more interactions with the WVU students would be good to make them more comfortable with the group as a whole. ,More in-person advertisement of the research projects before the program,Standardized interviews with PI's applying to the program to make sure they are the right fit for students to learn under. ,More opportunities for hands on experiences to build our research writing skills. ,More opportunities for social events between the different student researchers. ,,,,,,,MS 2,,Thank you all for the opportunity to help me build my research skills and experiences. It was a very influential summer and I appreciate all the time you guys put into the summer to make our experiences enriching. 
15,,Fair,Very Good,Very Good,Very Good,Fair,Very Good,Very Good,Poor ,No,,Very Good,"My project provided a range of experiences.  I spanned clinical data analysis, bench work, and live animal research.",Yes,,I liked the pairing of a professional introduction to research (INTRO program lectures/structure) with the freedom to pick a PI/project that fit appropriately into the summer.,No,,,,,,Passive,8,,,,,,,,,,,,,MS 2,,This program was excellently run!  It provided a much-needed introduction to research for me. Thanks for all you did to keep as much of it in-person as possible-- this played a big part in my decision.
16,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No,,Very Good,,Yes,,The food was always thoughtful to accomodate my dietary needs. Huge thanks.,Yes,Moderate Influence,Moderate Influence,Moderate Influence,,,Promoter,10,It was a great experience to get me involved with research,,,,,,,,,,,,MS 2,,
17,,I did not attend this session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
