Type,Category,Y8 Q1,Y8 Q2,Y8 Q3,Y8 Q4,Total,TARGET
Publications,CTR-Linked Publications,46 (8),66 (3),,,112 (11),375
Proposals,Proposals Submitted (#),48,117,,,165,250
Proposals,Subcategory: Proposals Submitted by ESIs,6,14,,,20,
Proposals,Subcategory: Proposals Submitted by Clinicians,16,48,,,64,
,,,,,,,
Proposals,Proposals Funded (#),64,109,,,173,175
Proposals,Subcategory: ESIs-Proposals Funded Totals,5,16,,,21,
Proposals,Subcategory: ESIs-Proposals Funded Active,5,5,,,10,
Proposals,Subcategory: ESIs-Proposals Funded New,1,4,,,5,
Proposals,Subcategory: Clinician-Proposals Funded,44,78,,,122,
Proposals,Subcategory: Clinician-Proposals Active,44,,,,44,
Proposals,Subcategory: Clinician-Proposals New,6,,,,6,
,,,,,,,
Funding,Total External Funding Received ($),"$17,034,441.54 ","$23,636,249.79 ",,,"$40,670,691.33 ",$50M
Funding,Subcategory: Federal,"$14,781,669.00 ","$18,736,167.00 ",,,"$33,517,836.00 ",
Funding,Subcategory: State,"$497,394.00 ","$2,483,189.00 ",,,"$2,980,583.00 ",
Funding,Subcategory: Industry,"$860,136 ","$1,185,386.00 ",,,"$2,045,522.00 ",
Funding,Subcategory: Other*,"$895,242.00 ","$1,232,508 ",,,"$2,127,750.00 ",
,,,,,,,
Patents,Disclosures Submitted: ,6,14,,,20,15
Patents,Patent Applications,2,7,,,9,10
Patents,Patents Awarded,1,1,,,2,2
,,,,,,,
Membership,WVCTSI Membership,"2,837","3,437",,,"6,274","3,400"
Membership,Non-Morgantown,819,972,,,"1,791",850
Membership,Community Membership,196,206,,,402,230
,,,,,,,
Services,Investigators accessing CTSI services or resources (unique # per quarter),244,189,,,433,750
Services,Subcategory: ESIs accessing CTSI services or resources (#),0,0,,,0,
