Cores,Type,Title,PI,Direct,Indirect,Funding
PILOT,,Developing Targeted Therapies for Triple-Negative Breast Cancer,"Agazie, Yehenew",1250000,650000,1900000
"PILOT, CRRF",,PVSRIPO with and without Immune Checkpoint Blockade in Advanced PD-1 Refractory Melanoma,"Kolodney, Joanna",16948,5954,22902
"ADMIN, CRDEB, CEO, CRRF",,"Emergence, Progression and Impact of SARS-CoV-2 Variants in West Virginia","Hodder, Sally",499816,178213,678029
CRRF,,"A PHASE III, OPEN-LABEL, RANDOMIZED STUDY OF MPDL3280A (Anti&#8722;PDL1 ANTIBODY) COMPARED WITH CISPLATIN OR CARBOPLATIN+PEMETREXED FOR PD-L1&#8722;SELECTED CHEMOTHERAPY NAIVE PATIENTS WITH STAGE IV NON-SQUAMOUS NON&#8722;SMALL CELL LUNG CANCER","Soltani, Sanaz",28295,9942,38237
"CEO, ADMIN",,Connecting Behavioral Science to the COVID-19 Vaccine Demand (CBS-CVD) Network,"Jarrett, Traci",399503,100497,500000
CRRF,,Evaluate safety of the multiple investigational agents to reduce the duration of COVID-19 symptoms and determine if the agents will prevent hospitalizations or death.,"Jenkins, Hannah",8218,2137,10355
CRRF,,To assess the CM patient throughout the first year after their diagnosis to identify patient reported benefits and the psychosocial impact of prognostic testing. To determine if patients experience regret after having prognostic testing done.,"Thomay, Alan",27777,9759,37536
CRRF,,Outcomes of Cutaneous Melanoma Patients Clinically Tested DecisionDx(R)-Melanoma,"Thomay, Alan",35791,12575,48366
CRRF,,A Pivotal Clinical Trial to Evaluate the Safety and Efficacy of Staged Bilateral Exablate Treatement of Medication Refractory Essential Tremor - ET005,"Rezai, Ali",28112,8152.48,36264.48
ADMIN,,Tailored Recovery and Engagement of Equitable Treatment of OUD and Pain (TREEETOP),"Winstanley, Erin",822589,427746,1250335
"ADMIN, CRRF, CRDEB",,Post-Acute Sequelae of SARS-COV-2 Studies Among Underserved and Rural populations,"Hodder, Sally",75547936,3897515,79445451
ADMIN,,Pragmatic Trial of Remote Cognitive Behavior Therapy for Major Depression and Anxiety for the Underserved Population,"Bossarte, Robert",162412,84454,246866
ADMIN,,"A Randomized, Sham-Controlled, Double-Blind Study of Vaus Nerve Stimulation for Moderate-to-Severe Rheumatoid Arthritis: The RESET-RA Study","Konrad, Peter",10175.2,2951.3,13126.5
CRRF,,Proteasome Function in Alzheimer's Disease,"Smith, David",303162,157644,460806
PILOT,,Targeting BK Channel for Improved Cardiac Toxicity in TNBC Treatment,"Yu, Hangang",450000,234000,684000
"TECH, CRRF",,A PET/CT scanner for guiding treatment of head and neck cancer,"Raylman, Raymond",390517,95942,486459
CRRF,,Hepatic Research Registry,"Marsh, James",31000,8060,39060
"PD, CRDEB",,Study of TEG 6s in Aeromedical Evacuation,"Bardes, James",0,0,0
CRRF,,"A Phase III, Randomized, Double-Blind, Placebo Controlled, Multi-Center, International Study of Durvalumab Given Concurrently With Definitive Chemoradiation Therapy (cDRT) in Patients With Locally Advanced, Unresectable Esophageal Squamous Cell Carcinoma (","Abbas, Ghulam",47930,16840,64770
CRRF,,Evaluate safety of the multiple investigational agents to reduce the duration of COVID-19 symptoms and determine if the agents will prevent hospitalizations or death.,"Jenkins, Hannah",8108,2108,10216
"ADMIN, CRRF",,CoVPN Site Preparedness & CoVPN 3006,"Burrell, Carmen",50000,25999,75999
ADMIN,,Reactive oxygen species generation in response to changes in radiation dose rate in human glioblastoma,"Cifarelli, Christopher",1836508,954984,2791492
"PD, ADMIN",,A Novel Education Intervention to Improve Provider Management of Sleep Apnea in Rural Communities,"Stansbury, Robert",229771,18382,248153
"TECH, ADMIN",,"Mitigating Nanomaterial Pathogenicity through Mechanism-Based ""Safe-by-Design"" Strategies","Rojanasakul, Yon",1250000,650000,1900000
PD,,"Children's In-Home and Community-Based Services Improvement Evaluation Project, Phase IIIa","Hartley, Summer",1061989,163972,1225961
CRRF,,"A prospective, randomized, double-blind, sham-controlled clinical study assessing the safety and efficacy of Nerivio for the preventive treatment of migraine. [Protocol TCH-008]","Najib, Umer",1925,500.5,2425.5
CRDEB,,CRISPR-Cas9 Genome Edited MSCs to Target OA Cartilage Regeneration,"Pei, Ming",1584761,635300,2220061
ADMIN,,Comparative Effectiveness of Best-Practices Mental Health Apps for College Students with Significant Symptoms of COVID-Related Anxiety and Mood Disorders,"Bossarte, Robert",2248614,1044959,3293573
ADMIN,,Addressing Unmet Social Needs for Overdose Preventionb,"Bossarte, Robert",124326,64650,188976
"ADMIN, CEO",,WV Program to Increase Colorectal Cancer Screening,"Kennedy-Rea, Stephenie",2811982,807097,3619079
"ADMIN, CRRF",,"An Open-Label, Single-Arm, Single-Dose, Prospective, Multicenter Phase 3 Study to Establish the Diagnostic Performance of F-Fluciclovine Positron Emission Tomography (PET) in Detecting Recurrent Brain Metastases after Radiation Therapy (REVELATE)","Aulakh, Sonikpreet",11950,4199,16149
"ADMIN, CRRF",,CoVPN Site Preparedness & CoVPN 3006,"Burrell, Carmen",50000,25999,75999
"ADMIN, CEO",,Mindful West Virginia School Personnel Evaluation,"Jarrett, Traci",9057,2943,12000
CEO,,"SOR Treatment, Access and Retention - Hub and Spokes, CM, SUD ACT and telehealth","Haut, Marc",2287828,409566,2697394
"ADMIN, PD",,Medtronics Fellowship Grant,"Konrad, Peter",25000,0,25000
"ADMIN, CRRF",,ELC Enhancing Detection through Coronavirus Response and Relief (CRR) Supplemental Funds,"Perrotta, Peter",4328905,1181384,5510289
"ADMIN, PD",,Targeting calcium homeostasis for the treatment of egfr driven lung cancer,"Hazlehurst, Lori",1291790,628050,1919840
"PILOT, CRDEB",,Smoking-associated Drivers of HPV-negative Appalachian HNSCC,"Weed, Scott",275000,143000,418000
CRRF,,"Phase III, Randomized, Open-Label, Clinical Trial to Compare Pembrolizumab with Brentuximab Vedotin in Subjects with Relapsed or Refractory Classical Hodgkins Lymphoma","Craig, Michael",21173,5505,26678
CRRF,,A Phase II Trial of PET-Directed Therapy for Limited Stage Diffuse Large B-Cell Lymphoma,"Craig, Michael",7000,0,7000
CRRF,,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Study of the Bruton's Tyrosine Kinase (BTK) Inhibitor, Ibrutinib, in Combination with Rituximab versus Placebo in Combination with Rituximab in Treatment Nave Subjects with Follicular Lymp","Veltri, Lauren",26404,6865,33269
ADMIN,,Lung Cancer Brain Metastasis: The Exportin 1 Connection,"Gao, Weimin",275000,143000,418000
"PD, CRRF",,A Novel Education Intervention to Improve Provider Management of Sleep Apnea in Rural Communities,"Stansbury, Robert",740228,59095,799323
"PD, CRDEB, CRRF",,Machine Learning Approaches to Unraveling Persistent Acute Kidney Injury after Cardiac Surgery,"Sakhuja, Ankit",726546,58124,784670
CRRF,,Drug Drug Interactions Between Anticancer Agents and Antidepressants in Breast Cancer Patients,"Kurian, Sobha",39537,20559,60096
CRRF,,"eA Phase 3, Multicenter, Randomized, Open-label Study to Compare the Efficacy and Safety of Pomalidomide (POM), Bortezomib (BTZ) and Low-Dose Dexamethasone (LD-DEX) versus Bortezomib and Low-Dose Dexamethasone in Subjects with Relapsed or Refractory Multip","Craig, Michael",45267,11770,57037
CRRF,,Phase I To determine the maximum tolerated dose (MTD) of ixazomib in combination with ibrutinib in patients with relapsed/refractory mantle cell lymphoma (MCL). Phase II To determine the complete response (CR) rate of ixazomib in combination with ibrutinib,"Craig, Michael",5800,0,5800
"CRRF, ADMIN",,"CTN-0100: Optimizing Retention, Duration and Discontinuation Strategies for Opioid Use Disorder Pharmacotherapy (RDD) Year 2","Feinberg, Judith",563794,293173,856967
ADMIN,,Evaluation of a COVID-19 vaccine produced by the Serum Institute of India,"Damron, Fredrick",214474,85526,300000
CEO,,Emergency Medicine Department Based Peer Recovery Support Services for OUD.,"Berry, James",552727,147271,699998
"PD, PILOT, CEO",,Predicting and optimizing success of treatment for patients with painful spinal infections and substance use disorder,"Sedney, Cara",1926065,1001554,2927619
PD,,WV AWARE (Asking Women About Relationship Experiences) COVID-19 Enhancement Proposal,"Davidov, Danielle",32557,10581,43138
"CEO, CRRF, ADMIN",,A multicenter adaptive randomized placebo-controlled platform trial evaluating the efficacy and safety of antithrombotic strategies in COVID-19 adults not requiring hospitalization at time of diagnosis,"Lewis, William",105263,54737,160000
"ADMIN, CEO",,Accelerating Colorectal Cancer Screening and Follow-Up (ACCSIS) Local Innovation Evaluation,"Kennedy-Rea, Stephenie",110799,57615,168414
ADMIN,,Identifying Stigma Reduction Targets in the Context of an Appalachian HIV Outbreak,"Pollini, Robin",295554,130551,426105
CRRF,,"An International, Phase 3, Multicenter, Randomized, Open-Label Trial Comparing Balixafortide in combination with Eribulin versus Eribulin alone in Patients with HER2 negative, Locally Recurrent or Metastatic Breast Cancer","Kurian, Sobha",44681.75,11617.25,56299
"ADMIN, PD",,Induction of Anti-Tumor Immunity Utilizing Scl-1 Targeted Therapeutic Infection with Group A Streptococcus in Pancreatic Adenocarcinoma,"Boone, Brian",50000,0,50000
"ADMIN, CRRF",,A Phase I/II study of Radiation/Temozolomide and Immunotherapy with Daratumumab to Improve Antitumor Efficacy in Glioblastoma (PRIDE).,"Aulakh, Sonikpreet",9828,2555,12383
TECH,,Biocompatible triarylmethyl radical-based dendrimers as nonmetallic contrast agents for MRI,"Driesschaert, Benoit",1250000,650000,1900000
CRRF,,"A multicenter, randomized, open-label Phase 2 study evaluating the safety and efficacy of three different regimens of oral panobinostat in combination with subcutaneous bortezomib and oral dexamethasone in patients with relapsed or relapsed/refractory mult","Craig, Michael",65475.71,21449.84,86925.55
ADMIN,,Behavioral Health Workforce and Disparities Training Center,"Winstanley, Erin",218368,70970,289338
PD,,Utilization of mobile thromboelastography to monitor and treat progressive coagulopathy during prolonged field care,"Bardes, James",561637,223207,784844
