Group,Exploration,Lesson Page,Due by_long,Due by_short,Required,Course or Project Name,Chapters_long,Chapters_wide
1,1,[Week 1](/lesson/01-lesson/),1/27/21,1/27/21,checked,Introduction to R,Intro to Basics,"Intro to Basics, Vectors, Matrices, Factors, Data Frames, Lists"
1,,,,,,,Vectors,
1,,,,,,,Matrices,
1,,,,,,,Factors,
1,,,,,,,Data Frames,
1,,,,,,,Lists,
,,,,,,,,
2,2,[Week 2](/lesson/02-lesson/),2/3/21,2/3/21,checked,Introduction to Data in R,Language of Data,"Language of Data, Study Types and Cautionary Tales, Sampling Strategies and Experimental Design, Case Study"
2,,,,,,,Study Types and Cautionary Tales,
2,,,,,,,Sampling Strategies and Experimental Design,
2,,,,,,,Case Study,
2,,,,,,,,
2,,,2/3/21,,checked,Data Visualization in R,A Quick Introduction to Base R Graphics,"A Quick Introduction to Base R Graphics, Different Plot Types, Adding Details to Plots, How Much is Too Much?, Advanced Plot Customization and Beyond"
2,,,,,,,Different Plot Types,
2,,,,,,,Adding Details to Plots,
2,,,,,,,How Much is Too Much?,
2,,,,,,,Advanced Plot Customization and Beyond,
,,,,,,,,
3,3,[Week 3](/lesson/03-lesson/),2/10/21,2/10/21,checked,Intermediate R,Conditionals and Control Flow,"Conditionals and Control Flow, Loops, Functions, The `apply` Family, Utilities"
3,,,,,,,Loops,
3,,,,,,,Functions,
3,,,,,,,The `apply` Family,
3,,,,,,,Utilities,
,,,,,,,,
4,4,[Week 4](/lesson/04-lesson/),2/17/21,2/17/21,checked,Exploratory Data Analysis in R,Exploring Categorical Data,"Exploring Categorical Data, Exploring Numerical Data, Numerical Summaries, Case study"
4,,,,,,,Exploring Numerical Data,
4,,,,,,,Numerical Summaries,
4,,,,,,,Case study,
4,,,,,,,,
4,,,2/17/21,,checked,Introduction to the Tidyverse,Data Wrangling,"Data Wrangling, Data Visualization, Grouping and Summarizing, Types of Visualizations"
4,,,,,,,Data Visualization,
4,,,,,,,Grouping and Summarizing,
4,,,,,,,Types of Visualizations,
,,,,,,,,
5,5,[Week 5](/lesson/05-lesson/),2/24/21,2/24/21,checked,Reporting with R Markdown,Getting Started with R Markdown,"Getting Started with R Markdown, Adding Analyses and Visualizations, Improving the Report, Customizing the Report"
5,,,,,,,Adding Analyses and Visualizations,
5,,,,,,,Improving the Report,
5,,,,,,,Customizing the Report,
5,,,,,,,,
5,,,2/24/21,,checked,Introduction to Data Visualization with ggplot2,Introduction,"Introduction, Aesthetics, Geometries, Themes"
5,,,,,,,Aesthetics,
5,,,,,,,Geometries,
5,,,,,,,Themes,
,,,,,,,,
6,6,[Week 6](/lesson/06-lesson/),3/3/21,3/3/21,checked,Intermediate Data Visualization with ggplot2,Statistics,"Statistics, Coordinates, Facets, Best Practices"
6,,,,,,,Coordinates,
6,,,,,,,Facets,
6,,,,,,,Best Practices,
6,,,,,,,,
6,,,3/3/21,3/3/21,checked,Visualization Best Practices in R,Proportions of a Whole,"Proportions of a Whole, Point Data, Single Distributions, Comparing Distributions"
6,,,,,,,Point Data,
6,,,,,,,Single Distributions,
6,,,,,,,Comparing Distributions,
,,,,,,,,
7,7,[Week 7](/lesson/07-lesson/),3/17/21,3/17/21,checked,Analyzing US Census Data in R,Census Data in R with `tidycensus`,"Census Data in R with `tidycensus`, Wrangling US Census Data, US Census Geographic Fata in R, Mapping US Census Data"
7,,,,,,,Wrangling US Census Data,
7,,,,,,,US Census Geographic Data in R,
7,,,,,,,Mapping US Census Data,
,,,,,,,,
8,8,[Week 8](/lesson/08-lesson/),3/24/21,3/24/21,checked,Text Mining with Bag-of-Words in R,Jumping Into Text Mining with Bag Of Words,"Jumping Into Text Mining with Bag Of Words, Word Clouds and More Interesting Visuals, Adding to your `tm` Skills, Battle of the Tech Giants for Talent"
8,,,,,,,Word Clouds and More Interesting Visuals,
8,,,,,,,Adding to your `tm` Skills,
8,,,,,,,Battle of the Tech Giants for Talent,
8,,,,,,,,
8,,,3/24/21,,checked,Sentiment Analysis in R,Fast & Dirty: Polarity Scoring,"Fast & Dirty: Polarity Scoring, Sentiment Analysis the Tidytext Way, Visualizing Sentiment, Case Study: Airbnb Reviews"
