Group,Chapter,Title,Source,Pages,Details,Assigned,Read Before,Required
1,1,The What and the Why of Statistics,<i>Social Statistics for a Diverse Society</i>,4-18,<a href='/readings/01-reading/'>Week 1</a>,8/19/21,8/26/21,checked
,,,,,,,,
2,2,The Organization and Graphic Presentation of Data,<i>Social Statistics for a Diverse Society</i>,27-55,<a href='/readings/02-reading/'>Week 2</a>,8/19/21,8/26/21,checked
,,,,,,,,
3,3,Measures of Central Tendency,<i>Social Statistics for a Diverse Society</i>,75-97,<a href='/readings/03-reading/'>Week 3</a>,8/26/21,9/2/21,checked
,,,,,,,,
4,4,Measures of Variability,<i>Social Statistics for a Diverse Society</i>,113-134,<a href='/readings/04-reading/'>Week 4</a>,9/2/21,9/9/21,checked
,,,,,,,,
5,5,The Normal Distribution,<i>Social Statistics for a Diverse Society</i>,151-168,<a href='/readings/05-reading/'>Week 5</a>,9/9/21,9/16/21,checked
,,,,,,,,
E1,,Descriptive Statistics,Exam 1,,<a href='(/tasks/01-exam/'>Exam 1</a>,9/23/21,,checked
,,,,,,,,
7,7,Sampling and Sampling Distributions,<i>Social Statistics for a Diverse Society</i>,179-201,<a href='/readings/07-reading/'>Week 7</a>,9/23/21,9/30/21,checked
,,,,,,,,
8,8,Estimation,<i>Social Statistics for a Diverse Society</i>,211-230,<a href='/readings/08-reading/'>Week 8</a>,9/30/21,10/14/21,checked
,,,,,,,,
9,9,Testing Hyptheses,<i>Social Statistics for a Diverse Society</i>,241-264,<a href='/readings/09-reading/'>Week 9</a>,10/14/21,10/21/21,checked
,,,,,,,,
10,10,Bivariate Tables,<i>Social Statistics for a Diverse Society</i>,281-306,<a href='/readings/10-reading/'>Week 10</a>,10/21/21,10/28/21,checked
,,,,,,,,
Q1,,Basics of Inference,Quiz 1,,<a href='/readings/01-quiz/'>Quiz 1</a>,11/4/21,,checked
,,,,,,,,
12,12,The Chi-Square Test and Measures of Association,<i>Social Statistics for a Diverse Society</i>,327-350,<a href='/readings/12-reading/'>Week 12</a>,10/28/21,11/11/21,checked
,,,,,,,,
13,13,Regression and Correlation & Analysis of Variance,<i>Social Statistics for a Diverse Society</i>,373-429,<a href='/readings/12-reading/'>Week 12</a>,11/11/21,11/18/21,checked
,,,,,,,,
E2,,Interential Statistics,Exam 2,,<a href='/tasks/02-exam/'>Exam 2</a>,,,checked
,,,,,,,,
FE,,Descriptive & Inferential Statistics ,,,<a href='/tasks/03-exam/'>Final Exam</a>,,,
