Week,Source,Title,Pages,Assigned,Read Before,Required
1,Leavy Chapter 1,Introduction to Social Research,22-Mar,1/11/22,1/17/22,checked
,,,,,,
2,Leavy Chapter 2,Ethics in Social Research,23 - 52,1/18/22,1/24/22,checked
,,,,,,
3,Leavy Chapter 3,Getting Started Designing a Project,54 - 83,1/25/22,1/31/22,checked
,,,,,,
4,Leavy Chapter 4,Quantiative Research Design,87 - 93,2/1/22,2/7/22,checked
,,,,,,
5,"Shadish, Cook, & Campbell Chapter 1 ",Experiments and Generalized Causal Inference,Jan-32,2/8/22,2/14/22,checked
5,"Shadish, Cook, & Campbell Chapter 2",Statistical Conclusion Validity and Internal Validity,33 - 63,2/8/22,2/14/22,
,,,,,,
6,"Shadish, Cook, & Campbell Chapter 3",Construct Validity and External Validity,64 - 102,2/15/22,2/21/22,checked
,,,,,,
7,Leavy Chapter 4,Quantiative Research Design,93 - 122 ,2/22/22,2/28/22,checked
7,Leavy Chapter 5,Qualitative Research Design,124 - 162,2/22/22,2/28/22,checked
,,,,,,
8,Qual Introduction TBD,TBD,TBD,3/1/22,3/7/22,checked
,,,,,,
9,Qual Paper TBD,TBD,TBD,3/8/22,3/14/22,checked
,,,,,,
10,Leavy Chapter 6,Mixed Methods Research Design,164 -189,3/21/22,3/27/22,checked
,,,,,,
11,Leavy Chapter 7,Arts-Based Research Design,191 - 223,3/29/22,4/4/22,checked
11,Leavy Chapter 8,Community-Based Research Design,224 - 253,3/29/22,4/4/22,checked
,,,,,,
12,R for Data Science Chapter 1,Introduction to Data Science,[Link](https://r4ds.had.co.nz/introduction.html),4/5/22,4/11/22,checked
,,,,,,
13,R for Data Science Chapter 3,Data Visualisation,[Link](https://r4ds.had.co.nz/data-visualisation.html),4/12/22,4/18/22,checked
,,,,,,
14,Program Evaluation,What Is the Difference between Evaluation and Research and Why Do We Care?,Mathison (2007),4/19/22,4/25/22,checked
,,TBD,Pitches,4/19/22,4/25/22,
,,,,,,
15,Pitch Meeting,TBD,TBD,4/26/22,,unchecked
