country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.045,0.045,0.045,0.0086,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.157,0.157,0.157,0.157,0.168,0.0936,0.0981,0.0995,0.102,0.102,0.102,0.103,0.104,0.104,0.315,0.338,0.346,0.305,0.305,0.305,0.305,0.321,0.321,0.321,0.321,0.343,0.338,0.338,0.316,0.339,0.351
Albania,0.498,0.529,0.529,0.575,0.575,0.575,0.575,0.565,0.565,0.565,0.565,0.565,0.564,0.564,0.564,0.544,0.392,0.417,0.417,0.417,0.417,0.486,0.403,0.421,0.432,0.432,0.479,0.479,0.483,0.487,0.524,0.524,0.524,0.524,0.535,0.538,0.535,0.535,0.588,0.588,0.588,0.588,0.623,0.676
Algeria,0.334,0.334,0.32,0.32,0.32,0.329,0.329,0.312,0.312,0.332,0.332,0.332,0.369,0.347,0.347,0.36,0.371,0.376,0.381,0.389,0.386,0.386,0.375,0.375,0.354,0.376,0.376,0.385,0.385,0.385,0.385,0.385,0.423,0.423,0.428,0.428,0.441,0.44,0.535,0.575,0.575,0.581,0.519,0.533
Angola,0.367,0.367,0.367,0.367,0.367,0.406,0.406,0.406,0.406,0.406,0.406,0.432,0.432,0.432,0.432,0.432,0.44,0.44,0.405,0.405,0.405,0.405,0.405,0.421,0.421,0.421,0.421,0.448,0.476,0.476,0.476,0.476,0.476,0.512,0.466,0.47,0.47,0.47,0.524,0.524,0.524,0.524,0.598,0.646
Argentina,0.422,0.32,0.32,0.322,0.317,0.317,0.311,0.312,0.412,0.492,0.492,0.492,0.503,0.503,0.501,0.501,0.515,0.578,0.607,0.607,0.623,0.628,0.668,0.668,0.674,0.674,0.674,0.674,0.693,0.705,0.705,0.705,0.792,0.792,0.792,0.792,0.806,0.808,0.716,0.716,0.673,0.645,0.652,0.657
Armenia,,,,,,,,,,,,,,,,,0.422,0.422,0.425,0.425,0.391,0.425,0.425,0.393,0.374,0.374,0.374,0.374,0.433,0.436,0.436,0.436,0.459,0.479,0.488,0.478,0.473,0.483,0.493,0.493,0.495,0.515,0.551,0.557
Australia,0.53,0.53,0.528,0.532,0.532,0.535,0.535,0.535,0.579,0.581,0.581,0.629,0.644,0.644,0.644,0.7,0.7,0.7,0.714,0.714,0.714,0.735,0.735,0.754,0.754,0.76,0.76,0.76,0.76,0.772,0.772,0.778,0.795,0.795,0.795,0.82,0.82,0.82,0.713,0.713,0.707,0.745,0.745,0.731
Austria,0.483,0.51,0.51,0.51,0.518,0.543,0.543,0.543,0.54,0.54,0.54,0.583,0.583,0.583,0.587,0.605,0.605,0.605,0.605,0.61,0.699,0.703,0.703,0.703,0.703,0.703,0.703,0.713,0.713,0.713,0.713,0.713,0.718,0.71,0.71,0.71,0.71,0.71,0.696,0.696,0.696,0.674,0.752,0.732
Azerbaijan,,,,,,,,,,,,,,,,,0.275,0.298,0.275,0.275,0.317,0.32,0.32,0.32,0.32,0.349,0.349,0.349,0.351,0.366,0.372,0.369,0.369,0.369,0.371,0.379,0.379,0.379,0.367,0.364,0.367,0.367,0.389,0.408
Bahrain,0.189,0.189,0.189,0.189,0.189,0.189,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.196,0.211,0.211,0.175,0.175,0.175,0.175,0.175,0.177,0.177,0.177,0.177,0.177,0.265,0.265,0.265,0.265,0.303,0.303,0.305,0.305,0.31,0.342,0.342,0.342,0.335,0.335,0.335,0.335,0.335
