Location,Lower_2000,Middle_2000,Upper_2000,Lower_2014,Middle_2014,Upper_2014
"Akron, OH",19.9,59.8,20.3,24.5,54.6,20.9
"Albany-Schenectady-Troy, NY",22.1,60.1,17.8,20.2,55.1,24.8
"Albuquerque, NM",28.6,55.4,16,33,50.7,16.3
"Allentown-Bethlehem-Easton, PA-NJ",23,60.7,16.2,25.2,55.7,19.1
"Amarillo, TX",32.3,54.7,13,27.4,52.6,20
"Anchorage, AK",22,58.2,19.8,20.3,55.5,24.2
"Ann Arbor, MI",21.9,51.2,26.9,25.6,49.3,25.1
"Anniston-Oxford-Jacksonville, AL",33,54.6,12.4,33.6,50.5,16
"Atlanta-Sandy Springs-Roswell, GA",20,56,23.9,27,50.5,22.6
"Atlantic City-Hammonton, NJ",29.3,59.2,11.5,30.1,52.8,17
"Auburn-Opelika, AL",35.1,49.7,15.2,38.5,43,18.5
"Augusta-Richmond County, GA-SC",27,55.1,17.9,29.3,52.7,18
"Austin-Round Rock, TX",23.2,55.1,21.8,23.4,52.5,24.1
"Bakersfield, CA",40.3,47.3,12.4,41.5,43.6,14.9
"Baltimore-Columbia-Towson, MD",23.1,57.5,19.4,23,51.3,25.7
"Bangor, ME",33.2,56.4,10.4,32.6,54.2,13.3
"Barnstable Town, MA",21.5,59.9,18.6,17.7,52.1,30.3
"Baton Rouge, LA",31.6,52.4,16.1,26.2,52.5,21.3
"Beaumont-Port Arthur, TX",30.5,53.6,15.9,32.2,50.8,17
"Bellingham, WA",29.3,55.8,14.9,32.1,51.8,16.1
"Bend-Redmond, OR",24.7,59.5,15.8,29.1,51.1,19.8
"Binghamton, NY",28.5,57.9,13.7,28.8,53.9,17.4
"Birmingham-Hoover, AL",27.1,53.7,19.1,29.9,49.6,20.5
"Blacksburg-Christiansburg-Radford, VA",34.4,52.4,13.1,34.3,50.7,15
"Bloomington, IL",19.6,58.1,22.3,24.5,50.2,25.3
"Boise City, ID",23,60.5,16.5,29.6,54.8,15.6
"Boston-Cambridge-Newton, MA-NH",21.4,55.9,22.7,21.7,48.6,29.6
"Bremerton-Silverdale, WA",23.3,60,16.7,23.1,57.1,19.8
"Bridgeport-Stamford-Norwalk, CT",21.7,49.7,28.6,22.5,45.6,32
"Brownsville-Harlingen, TX",49.8,41.2,9,46.9,42.7,10.4
"Buffalo-Cheektowaga-Niagara Falls, NY",25.4,58,16.7,26.2,52.8,20.9
"Burlington, NC",25.8,59.2,15,34.1,51.8,14.1
"Burlington-South Burlington, VT",23.8,61.2,14.9,24.5,51.5,24
"Canton-Massillon, OH",22.4,62.3,15.3,25.3,58.6,16.2
"Cape Coral-Fort Myers, FL",25.9,58,16.1,28.4,54.2,17.4
"Champaign-Urbana, IL",28.6,53.5,17.9,35.9,44.4,19.7
"Charleston-North Charleston, SC",29.2,56,14.9,26.2,53.4,20.5
