Group,Track,Lesson Page,Assigned,Due by_long,Due by_short,Required,Course,Chapters_long,Chapters_wide
1,1,[Week 1](/lesson/01-lesson/),8/19/21,8/25/21,8/25/21,checked,Introduction to R,Intro to basics,"Intro to basics, Vectors, Matrices, Factors, Data Frames, Lists"
1,,,,,,,,Vectors,
1,,,,,,,,Matrices,
1,,,,,,,,Factors,
1,,,,,,,,Data Frames,
1,,,,,,,,Lists,
,,,,,,,,,
2,2,[Week 3](/lesson/03-lesson/),9/2/21,9/1/21,9/1/21,checked,Introduction to the Tidyverse,Data wrangling,"Data wrangling, Data visualization,  Grouping and summarizing, Types of visualizations"
2,,,,,,,,Data visualization,
2,,,,,,,,Grouping and summarizing,
2,,,,,,,,Types of visualizations,
,,,,,,,,,
3,3,[Week 3](/lesson/03-lesson/),9/3/21,9/22/21,9/22/21,checked,Intermediate R,Conditionals and Control Flow,"Conditionals, Loops, Functions, The apply function, Utilities"
3,,,,,,,,Loops,
3,,,,,,,,Functions,
3,,,,,,,,The apply function,
,,,,,,,,Utilities,
4,4,[Week 3](/lesson/03-lesson/),9/3/21,10/6/21,10/6/21,checked,Network Analysis in R,Introduction to networks,"Introduction to networks, Identifying important vertices in a network, Characterizing network structures, Identifying special relationships"
4,,,,,,,,Identifying important vertices in a network,
4,,,,,,,,Characterizing network structures,
4,,,,,,,,Identifying special relationships,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
EC1,EC1,,8/19/21,12/8/21,12/8/21,unchecked,Working with Data in the Tidyverse,Explore your data,"Explore your data, Tame your data, Tidy your data, Transform your data"
EC1,EC1,,,,,,,Tame your data,
EC1,EC1,,,,,,,Tidy your data,
EC1,EC1,,,,,,,Transform your data,
EC1,EC1,,,,,,,,
EC1,EC1,,,,,unchecked,Dr. Semmelweis and the Discovery of Handwashing,,
,,,,,,,,,
EC2,EC2,,8/19/21,12/8/21,12/8/21,unchecked,Fundamentals of Bayesian Data Analysis in R,What is Bayesian Data Analysis?,"What is Bayesian Data Analysis?, How does Bayesian inference work?, Why use Bayesian Data Analysis?, Bayesian inference with Bayes' theorem"
EC2,EC2,,,,,,,How does Bayesian inference work?,
EC2,EC2,,,,,,,Why use Bayesian Data Analysis?,
EC2,EC2,,,,,,,Bayesian inference with Bayes' theorem,
