"yday","min","max","mean"
1,36.5818181818182,46.7272727272727,41.327135896972
2,36,49.2,42.10755579227
3,35.96,48.92,42.1135238843067
4,34.52,48.92,41.3839790363804
5,34.7,46.04,40.1127356311784
6,35.6,47.12,40.7999488617579
7,37.22,46.22,41.5378020811436
8,35.42,46.22,40.581611540209
9,35.78,45.68,40.3707960808328
10,35.42,47.12,41.2654401795388
11,34.88,45.32,39.4974093611502
12,35.78,48.02,41.8692357648832
13,37.4,47.12,42.1305442257538
14,38,49.4,43.797445394466
15,35.24,45.86,40.4109059305393
16,36.32,46.4,41.121447487831
17,36.86,48.2,42.3856890756303
18,38.4,51.2,44.3987197943172
19,38.2,51.8,44.0325443510738
20,36.6,49.4,42.4979786239132
21,34.6,49.2,41.1243948421242
22,35.78,50.9,43.1219011140964
23,34.34,48.74,41.2879455950569
24,36.32,47.84,42.1706286407067
25,38.3,49.1,43.4240437155542
26,37.22,48.02,42.9066437735465
27,35.42,48.2,41.5001435416871
28,36.32,48.38,41.8358241842358
29,40.28,50.72,45.1246392292373
30,37.58,50,43.3666370705049
31,37.4,53.4,44.6615456078328
32,36.8,48.2,42.6226252518752
33,36.6,49.6,42.0309956811149
34,35.6,53,42.9662150681869
35,34.8,52.4,42.3544996240067
36,35.8,52.6,42.4027930449522
37,35.8,52.2,43.5890681169721
38,34.2,52.2,42.8463498561873
39,33.6,49.4,41.336329593724
40,33.4,52.8,41.9189532381454
41,33,52.2,41.4929814385769
42,33.2,54.8,41.8282696655273
43,34.2,54.8,43.5317875745351
44,36.8,51,43.1685663140537
45,35.4,52,42.5674325849743
46,34.4,52.2,42.3271865931498
47,34.6,52.6,42.9306064987346
48,34.6,52.4,42.2195586050005
49,32.2,54,41.6000594023076
50,33.6,53.4,42.835495270572
51,32.4,54,42.7094720496894
52,36.32,54.14,44.7629336453504
53,35.24,53.6,43.842529186886
54,35.06,53.42,43.0605250178435
55,35.42,52.7,44.125146913767
56,35.24,50.54,42.811510490635
57,35.06,49.46,41.8645162324012
58,38.3,54.14,45.1953546956511
59,38.12,51.98,44.570939372689
60,39.38,54.14,46.3745815827305
61,39.56,54.5,46.7529737516005
62,35.78,54.68,44.7923402922401
63,38.48,56.84,46.9192191652589
64,40.64,56.66,47.581961726883
65,37.4,57.74,46.3153712953566
66,37.22,55.58,46.233328716824
67,38.3,56.66,46.9156840631144
68,37.94,58.1,47.0574712656978
69,38.84,58.46,48.3010081116158
70,41,60.08,49.8590198021353
71,40.28,58.46,48.8133146571738
72,36.86,59.18,47.0517634621158
73,38.66,56.84,47.0841728369607
74,39.92,58.46,48.3608083151314
75,41,56.84,48.2151215890662
76,38.12,57.92,47.4074750724448
77,39.74,58.1,48.3949922553222
78,39.38,56.84,47.7369565298805
79,38.12,55.58,46.6324941963407
80,39.02,55.4,47.0784285714286
81,39.56,55.04,46.65566285951
82,36.5,58.46,46.759454255116
83,40.1,58.1,48.1419472217923
84,41.36,56.12,48.3641486511542
