year,status,count
1938,Divided,10
1940,Divided,15
1942,Divided,9
1944,Divided,10
1946,Divided,8
1948,Divided,15
1950,Divided,15
1952,Divided,8
1954,Divided,16
1956,Divided,17
1958,Divided,21
1960,Divided,18
1962,Divided,17
1964,Divided,21
1966,Divided,24
1968,Divided,20
1970,Divided,21
1972,Divided,24
1974,Divided,21
1976,Divided,22
1978,Divided,24
1980,Divided,25
1982,Divided,21
1984,Divided,28
1986,Divided,30
1988,Divided,31
1990,Divided,29
1992,Divided,30
1994,Divided,26
1996,Divided,31
1998,Divided,25
2000,Divided,28
2002,Divided,29
2004,Divided,30
2006,Divided,23
2008,Divided,24
2010,Divided,18
2012,Divided,11
1938,Unified.D,21
1940,Unified.D,19
1942,Unified.D,17
1944,Unified.D,18
1946,Unified.D,17
1948,Unified.D,18
1950,Unified.D,15
1952,Unified.D,14
1954,Unified.D,16
1956,Unified.D,18
1958,Unified.D,22
1960,Unified.D,22
1962,Unified.D,21
1964,Unified.D,24
1966,Unified.D,14
1968,Unified.D,13
1970,Unified.D,17
1972,Unified.D,17
1974,Unified.D,27
1976,Unified.D,27
1978,Unified.D,21
1980,Unified.D,17
1982,Unified.D,24
1984,Unified.D,17
1986,Unified.D,14
1988,Unified.D,14
1990,Unified.D,17
1992,Unified.D,16
1994,Unified.D,8
1996,Unified.D,6
1998,Unified.D,10
2000,Unified.D,8
2002,Unified.D,8
2004,Unified.D,7
2006,Unified.D,16
2008,Unified.D,17
2010,Unified.D,11
2012,Unified.D,14
1938,Unified.R,15
1940,Unified.R,12
1942,Unified.R,20
1944,Unified.R,18
1946,Unified.R,21
1948,Unified.R,13
1950,Unified.R,16
1952,Unified.R,24
1954,Unified.R,14
1956,Unified.R,11
1958,Unified.R,5
1960,Unified.R,8
1962,Unified.R,10
1964,Unified.R,3
1966,Unified.R,10
1968,Unified.R,15
1970,Unified.R,10
1972,Unified.R,8
1974,Unified.R,1
1976,Unified.R,0
1978,Unified.R,4
1980,Unified.R,7
1982,Unified.R,4
1984,Unified.R,4
1986,Unified.R,5
1988,Unified.R,4
1990,Unified.R,3
1992,Unified.R,3
1994,Unified.R,15
1996,Unified.R,12
1998,Unified.R,14
2000,Unified.R,13
2002,Unified.R,12
2004,Unified.R,12
2006,Unified.R,10
2008,Unified.R,8
2010,Unified.R,20
2012,Unified.R,24
