County,State,Population
Kanawha,West Virginia,183279
Braxton,West Virginia,14190
Harrison,West Virginia,67908
Ritchie,West Virginia,9844
Wetzel,West Virginia,15436
Wayne,West Virginia,40303
Cabell,West Virginia,94339
Hampshire,West Virginia,23309
Lincoln,West Virginia,20850
Pocahontas,West Virginia,8450
Wyoming,West Virginia,21281
Raleigh,West Virginia,75252
Nicholas,West Virginia,25078
Hardy,West Virginia,13805
Roane,West Virginia,14020
Mingo,West Virginia,24290
Jefferson,West Virginia,56506
Greenbrier,West Virginia,35155
Tucker,West Virginia,6982
Morgan,West Virginia,17709
Gilmer,West Virginia,8041
Monroe,West Virginia,13401
Grant,West Virginia,11616
Tyler,West Virginia,8811
Fayette,West Virginia,43576
McDowell,West Virginia,18661
Mineral,West Virginia,27167
Randolph,West Virginia,28930
Berkeley,West Virginia,115329
Lewis,West Virginia,16166
Pendleton,West Virginia,7001
Logan,West Virginia,33154
Barbour,West Virginia,16633
Pleasants,West Virginia,7482
Calhoun,West Virginia,7295
Doddridge,West Virginia,8560
Boone,West Virginia,22368
Taylor,West Virginia,16864
Marion,West Virginia,56355
Preston,West Virginia,33683
Summers,West Virginia,12848
Clay,West Virginia,8709
Mercer,West Virginia,59919
Putnam,West Virginia,56610
Wirt,West Virginia,5798
Hancock,West Virginia,29383
Webster,West Virginia,8386
Ohio,West Virginia,42143
Wood,West Virginia,84960
Jackson,West Virginia,28907
Monongalia,West Virginia,105474
Brooke,West Virginia,22459
Marshall,West Virginia,31308
Upshur,West Virginia,24502
Mason,West Virginia,26820
