country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.0382,0.038,0.0426,0.0346,0.133,0.136,0.129,0.13,0.132,0.133,0.133,0.135,0.14,0.17,0.172,0.15,0.152,0.12,0.0725,0.0776,0.0812,0.0658,0.0677,0.0767,0.0757,0.0799,0.0856,0.256,0.265,0.272,0.253,0.254,0.256,0.259,0.264,0.267,0.27,0.269,0.273,0.269,0.278,0.245,0.256,0.261
Albania,0.498,0.511,0.517,0.517,0.519,0.519,0.524,0.515,0.518,0.523,0.525,0.528,0.528,0.532,0.536,0.522,0.41,0.42,0.417,0.42,0.417,0.457,0.414,0.421,0.42,0.424,0.458,0.459,0.459,0.466,0.489,0.492,0.496,0.492,0.505,0.507,0.504,0.507,0.547,0.553,0.549,0.548,0.563,0.602
Algeria,0.311,0.31,0.307,0.311,0.314,0.314,0.323,0.314,0.32,0.336,0.341,0.349,0.368,0.357,0.359,0.367,0.377,0.385,0.379,0.393,0.393,0.388,0.385,0.388,0.367,0.377,0.384,0.385,0.389,0.394,0.389,0.398,0.422,0.406,0.404,0.403,0.407,0.404,0.478,0.503,0.504,0.511,0.481,0.474
Angola,0.172,0.156,0.16,0.154,0.156,0.181,0.177,0.178,0.18,0.185,0.185,0.197,0.192,0.195,0.194,0.214,0.221,0.248,0.219,0.22,0.22,0.216,0.234,0.243,0.244,0.247,0.243,0.252,0.27,0.276,0.275,0.274,0.278,0.301,0.279,0.281,0.284,0.288,0.328,0.332,0.329,0.335,0.381,0.433
Argentina,0.415,0.3,0.298,0.301,0.303,0.309,0.303,0.309,0.381,0.495,0.502,0.5,0.505,0.513,0.51,0.504,0.51,0.549,0.563,0.567,0.578,0.584,0.606,0.609,0.613,0.615,0.61,0.619,0.629,0.632,0.64,0.639,0.694,0.691,0.695,0.689,0.7,0.705,0.64,0.635,0.615,0.604,0.592,0.604
Armenia,,,,,,,,,,,,,,,,,0.461,0.462,0.464,0.463,0.437,0.456,0.46,0.431,0.421,0.418,0.414,0.406,0.449,0.443,0.446,0.45,0.457,0.471,0.463,0.451,0.457,0.461,0.473,0.48,0.487,0.505,0.533,0.567
Australia,0.55,0.552,0.551,0.552,0.557,0.559,0.561,0.563,0.591,0.598,0.596,0.628,0.641,0.644,0.643,0.669,0.677,0.674,0.682,0.683,0.682,0.692,0.695,0.709,0.716,0.717,0.716,0.716,0.719,0.728,0.739,0.741,0.749,0.752,0.75,0.758,0.761,0.77,0.709,0.709,0.707,0.729,0.728,0.724
Austria,0.575,0.595,0.599,0.6,0.612,0.627,0.627,0.624,0.626,0.633,0.631,0.65,0.645,0.653,0.658,0.667,0.671,0.666,0.669,0.675,0.729,0.729,0.733,0.735,0.734,0.725,0.731,0.734,0.735,0.739,0.734,0.735,0.737,0.731,0.739,0.743,0.746,0.744,0.726,0.73,0.73,0.711,0.754,0.75
Azerbaijan,,,,,,,,,,,,,,,,,0.303,0.339,0.317,0.249,0.271,0.276,0.282,0.282,0.282,0.296,0.301,0.302,0.307,0.323,0.324,0.32,0.33,0.324,0.325,0.336,0.337,0.338,0.338,0.335,0.341,0.329,0.349,0.355
Bahrain,0.147,0.132,0.138,0.135,0.136,0.144,0.141,0.145,0.149,0.149,0.15,0.152,0.153,0.149,0.159,0.166,0.161,0.141,0.143,0.148,0.147,0.151,0.152,0.152,0.158,0.18,0.175,0.241,0.243,0.242,0.242,0.27,0.265,0.27,0.272,0.274,0.274,0.266,0.271,0.262,0.264,0.273,0.266,0.268
