Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
3,5,3,3,5,5,5,NA,NA,5,4,5,5,NA,NA,NA,4,5,5,5,5,NA,5,NA,5,NA
NA,NA,4,3,5,NA,5,1,4,NA,1,NA,4,4,1,3,3,3,1,3,3,3,NA,4,4,NA
5,NA,5,5,5,NA,5,5,5,5,5,4,5,5,NA,5,5,4,5,5,5,5,NA,5,NA,5
NA,5,NA,5,5,NA,5,NA,5,5,5,NA,4,4,4,2,5,5,5,5,4,1,5,5,5,5
4,NA,NA,4,NA,4,NA,4,4,5,4,4,NA,NA,1,1,5,5,3,5,5,4,4,5,NA,0
4,4,4,4,4,4,5,3,NA,NA,4,4,3,5,NA,4,3,4,5,NA,NA,NA,5,NA,NA,4
5,3,4,3,NA,4,4,NA,5,NA,3,3,4,4,1,1,3,1,3,1,5,NA,NA,5,NA,NA
NA,3,4,5,5,3,NA,5,3,5,4,4,3,NA,NA,5,4,4,NA,3,4,NA,NA,5,2,5
NA,5,5,NA,2,3,0,NA,4,4,NA,NA,5,3,5,NA,NA,5,4,3,5,2,5,4,2,3
4,5,5,5,4,3,5,4,4,5,1,4,4,NA,5,NA,5,NA,2,5,2,3,5,5,2,NA
