Category,July,August,September,Type
Abstract Accepted,1,0,3,Products
Abstract Submitted,2,1,3,Products
Community Advisory Board Meeting,0,2,0,Products
Community Engagement and Training,4,4.75,8,Services
Consultation,8,5,2,Services
CORE Selected,1,1,0,PBRN Activities
CORE Survey Submissions,2,0,0,PBRN Activities
Grant Awarded,1,0,2,Products
Grant Submission,2,0,3,Products
Policy Briefs and Community Results,1,0,0,Products
Presentation,2,3,1,Products
Project Accepted,,,,PBRN Activities
Project Accepted by the WVPBRN,0,1,1,Services
Project Development,65,41,20,Services
Project Implementation,59,88,126,Services
Project Reviewed by WVPBRN Protocol ...,0,2,0,Services
Project Submission,0,0,0,PBRN Activities
Publication Accepted,2,0,0,Products
Publication Submitted,1,0,0,Products
Systems Change,0,0,0,Products
Translational and Dissemination,10,5,8,Services
WV Project ECHO Operations and Planning,24,33,21,Services
WV Project ECHO Session,18,26,19,Services
WVPBRN Engagement and Training,12,4,13,Services
