Category,October,November,December,Type
Abstract Accepted,,,,Products
Abstract Submitted,,,,Products
Community Advisory Board Feedback Request,0,0,1,
Community Advisory Board Meeting,,,,Products
Community Engagement and Training,8,6,7,Services
Consultation,4,8,7,Services
CORE Selected,,,,PBRN Activities
CORE Survey Submissions,,,,PBRN Activities
Grant Awarded,,,,Products
Grant Submission,0,0,1,Products
Ideas on Deck,0,1,2,
Policy Briefs and Community Results,,,,Products
Practice Change,1,0,0,
Presentation,6,5,4,Products
Project Accepted,,,,PBRN Activities
Project Accepted by the WVPBRN,2,0,0,Services
Project Development,43,47,39,Services
Project Implementation,92,47,87,Services
Project Reviewed by WVPBRN Protocol ...,,,,Services
Project Submission,,,,PBRN Activities
Publication Accepted,1,0,0,Products
Publication Submitted,,,,Products
Systems Change,,,,Products
Translational and Dissemination,11,9,7,Services
WV Project ECHO Operations and Planning,39,34,26,Services
WV Project ECHO Session,24,20,17,Services
WVPBRN Engagement and Training,16,9,7,Services
