Type,Category,Y10 Q1,Y10 Q2,Y10 Q3,Y10 Q4,Total,Target
Publications,CTR-Linked Publications,31,23,,,54,
,,,,,,,
Proposals,Proposals Submitted (#),40,41,,,81,
Proposals,Subcategory: Proposals Submitted by ESIs,,1,,,1,
Proposals,Subcategory: Proposals Submitted by Clinicians,6,22,,,28,
,,,,,,,
Awards,Proposals Funded (#),55,40,,,95,
Awards,Subcategory: ESIs-Proposals Funded Totals,3,0,,,3,
Awards,Subcategory: ESIs-Proposals Funded Active,3,0,,,3,
Awards,Subcategory: ESIs-Proposals Funded New,0,0,,,0,
Awards,Subcategory: Clinician-Proposals Funded,3,9,,,12,
Awards,Subcategory: Clinician-Proposals Active,2,8,,,10,
Awards,Subcategory: Clinician-Proposals New,1,1,,,2,
,,,,,,,
Funding,Total External Funding Received,16207224.84,3054753.69,,,19261978.53,
Funding,Subcategory: Federal,11996367,1954518,,,13950885,
Funding,Subcategory: State,2804027.35,800000,,,3604027.35,
Funding,Subcategory: Industry,919351.8,215401.44,,,1134753.24,
Funding,Subcategory: Other*,487478.69,84834.25,,,572312.94,
,,,,,,,
Patents,Disclosures Submitted: ,1,,,,1,
Patents,Patent Applications,1,,,,1,
Patents,Patents Awarded,0,,,,0,
,,,,,,,
Membership,WVCTSI Membership,3729,3920,,,3729,
Membership,Non-Morgantown,1319,1430,,,1319,
Membership,Community Membership,515,534,,,515,
,,,,,,,
Services,Investigators accessing CTSI services or resources (unique # per quarter),238,237,,,,
