Cores,Type,Title,PI,Direct,Indirect,Funding
CRRF,State,WV Breast and Cervical Cancer Screening Program,"Eason, Susan","346,589.00","34,659.00","381,248.00"
CRRF,Industry,POL6326-009,"Kurian, Sobha","3,743.65",973.35,"4,717.00"
ADMIN,Other,Timing of Radiotherapy and Chemotherapy to Improve Drug Effect in Brain Metastases of Breast Cancer,"Lockman, Paul","95,000.00","5,000.00","100,000.00"
CRDEB,Other,I-SPY COVID TRIAL: An Adaptive Platform Trial to Reduce Mortality and Ventilator Requirements for Critically Ill Patients,"Hayanga, Jeremiah","57,800.00","8,670.00","66,470.00"
CEO,State,SOR II Year 2 - SOR-Medical Services,"Sheppard, Ashley","12,217.00","3,971.00","16,188.00"
CRDEB,State,Joint Interagency Task Force_Covid-19- Kimble,"Kimble, Wesley","537,280.00","174,616.00","711,896.00"
CRRF,Industry,INCB54828-207; Ph2 Study of Pemigatinib in Previously Treated Stage IV Solid Tumor Malignancies with FGFR Mutations,"Hogan, Thomas","10,258.73","2,667.27","12,926.00"
CRRF,Industry,"A Phase III, Multicenter, Randomized, Placebo-Controlled, Double-Blind Study of Atezolizumab (Anti-PD-L1 Antibody) as Adjuvant Therapy in Patients with Renal Cell Carcinoma at High Risk of Developing Metastasis Following Nephrectomy.","Luchey, Adam","1,075.71",279.69,"1,355.40"
"ADMIN, PD",Industry,Product Surveillance Registry,"Konrad, Peter","4,536.13","1,474.87","6,011.00"
ADMIN,Industry,"Facilitating supervised self-management of stimulant medications among adolescents: improving adherence, reducing stigma, and supporting caregivers","Winstanley, Erin","25,887.00","6,731.00","32,618.00"
CRDEB,Industry,"A Prospective, Multi-Center, Randomized, Controlled, Single Blind Clinical Trial Evaluating the Safety and Efficacy of the Cordella (TM) Pulmonary Artery Sensor System in New York Heart Association (NYHA) Class III Heart Failure Patients (PROACTIVE- HF Tri","Sokos, George","11,905.00","3,095.00","15,000.00"
CRRF,Other,Eastern Cooperative Oncology Group (PSA WVA-01),"Kamran, Amir","1,587.00",413,"2,000.00"
CRRF,Industry,"To test the effectiveness and safety of TTFields given to newly diagnosed GBM patients, concomitantly with radiation therapy and temozolomide compared to treatment with radiation therapy and temozolomide, where in both arms TTFields and maintenance temozol","Aulakh, Sonikpreet","9,523.81","2,476.19","12,000.00"
"CRDEB, PD",Federal,Identifying COVID-19 vaccine deserts using Machine Learning and Geospatial Analyses to target Community -engaged testing for vulnerable rural populations to prevent localized outbreaks,"Hendricks, Brian","667,974.00","347,346.00","1,015,320.00"
CEO,State,"West Virginia Bureau for Behavioral Health State Opioid Response Grant Prescriber/Provider Training, Education, and Development Implementation","Sheppard, Ashley","341,579.34","111,012.66","452,592.00"
CRRF,Industry,"Open-label, Single Arm, Phase 3b, Multi-Center Study Evaluating the Efficacy of Venetolax (ABT-199) in Relapsed/Refractory Subjects with Chronic Lymphocytic Leukemia (CLL) Including Those with the 17p Deletion or TP53 Mutation OR Those Who Are Refractory","Ross, Kelly",584.94,152.66,737.6
CRDEB,Industry,ALgorithm Using LINQ Sensors for EValuatIon And TreatmEnt of Heart Failure (ALLEVIATE-HF),"Sokos, George",275,71.5,346.5
CRRF,Industry,"A Phase 3b, Multicenter, Open-Label, PCI-32765 (Ibrutinib) Long-Term Extension Study","Craig, Michael","1,880.95",489.05,"2,370.00"
CRRF,Industry,"Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Trial of Infigratinib for the Adjuvant Treatment of Subjects With Invasive Urothelial Carcinoma With Susceptible FGFR3 Genetic Alterations (PROOF 302)","Luchey, Adam","12,381.00","3,219.00","15,600.00"
CRRF,Industry,"A Phase 3, Randomized, Double-blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Ravulizumab in Adult Participants Who Have Thrombotic Microangiopathy Associated With a Trigger","Merrill, Samuel","12,821.00","3,334.00","16,155.00"
CRRF,Industry,"A Phase I, Open-Label, Dose-Escalation Study to Evaluate the Safety and Tolerability of SGN-LIV1A in Patients with LIV-1-Postitive Metastatic Breast Cancer","Pahuja, Shalu","1,031.75",268.25,"1,300.00"
TECH,Federal,In Vivo Monitoring of Tumor Microenvironment Regulation by Macrophages,"Khramtsov, Valery","237,500.00","123,500.00","361,000.00"
ADMIN,Federal,Development of Mucosal Vaccines to Protect Against Pertussis,"Damron, Fredrick","348,112.00","181,018.00","529,130.00"
CEO,State,System of Care Database and Evaluation Phase IV,"Ervin, Jennifer","332,357.00","83,641.00","415,998.00"
