Funding,Cores,Type
10000,"CRRF, CRDEB",Other
25000,"CRRF, ADMIN",Industry
0,CRRF,Other
0,"CRRF, CRDEB",Industry
138916,"PILOT, CRDEB",Federal
362438,"PILOT, CRDEB",Federal
345326,CRRF,State
40000,TECH,Other
10000,"CEO, CRRF",Other
25000,CRDEB,Other
27255,CEO,Other
0,"ADMIN, CRRF",Other
0,CRDEB,Industry
313045,PD,State
1900000,PILOT,Federal
329136,"ADMIN, PD",Federal
242218,"ADMIN, CRRF",Other
8500,CRRF,Industry
24294.9,"ADMIN, CRRF",Industry
63040,PILOT,Other
282142,ADMIN,Other
242584,PD,Other
199998,"ADMIN, CRRF",Other
1418582,PD,Federal
481499,ADMIN,Federal
2757940,"ADMIN, CEO",Other
403754,TECH,Federal
147812,ADMIN,Other
49314,"ADMIN, CEO",State
418000,PILOT,Federal
2042254,PD,Federal
8500,CRRF,Industry
1900000,"PD, PILOT, CRRF",Federal
696803,"CEO, ADMIN, CRRF",Other
750000,"ADMIN, CEO",Federal
222426,PILOT,Federal
625000,CEO,State
418000,"PILOT, ADMIN",Federal
2931505,ADMIN,Other
434655,ADMIN,Federal
418000,ADMIN,Federal
387000,TECH,Federal
30585,ADMIN,Other
380000,ADMIN,Federal
152000,"CEO, CRRF",Federal
418000,PILOT,Federal
5000,"PD, CRDEB",Other
11000,CEO,Other
7500,CEO,Federal
1513760,"CRRF, CRDEB",Federal
99661,CEO,Private Non-Profit
85000,"PD, PILOT",Industry
1900000,"PD, PILOT",Federal
11856.6,"CRDEB, CRRF",Industry
11856.6,"CRDEB, CRRF",Industry
35040.3,CRRF,Industry
7500,CRRF,Other
24220.98,CRRF,Industry
6160,CEO,Industry
90573,"CRRF, CRDEB",Other
1000000,CEO,Federal
135480.87,CRRF,Industry
0,CRRF,Industry
5851,CEO,Other
239463.84,CRRF,Other
99037,CRRF,Other
600000,CEO,Federal
225599,CRRF,Industry
8500,CRRF,Industry
