Citation,Cores Contributed,Core Components Contributed,Partners
"Annie, F.H., Sirbu, C., Frazier, K.R., Broce, M. & Lucas, B.D. (2020). Hydroxychloroquine in Hospitalized Patients with COVID-19: Real-World Experience Assessing Mortality., Pharmacotherapy, 40(11), 1072-1081. doi: 10.1002/phar.2467",ADMIN,,CAMC
"Ayers, M.C., Sherman, Z.N. & Gallagher, J.E.G. (2020). Oxidative Stress Responses and Nutrient Starvation in MCHM Treated <i>Saccharomyces cerevisiae</i>., G3 (Bethesda, Md.), 10(12), 4665-4678. doi: 10.1534/g3.120.401661",TECH,,WVU
"Bailey, C., Mach, J., Kataria, S., Tandon, M., Lakhani, D.A. & Sriwastava, S. (2020). West Nile virus encephalitis: A report of two cases and review of neuroradiological features., Radiology case reports, 15(11), 2422-2426. doi: 10.1016/j.radcr.2020.09.023",CRDEB,,WVU
"Dawoud, F., Lucke-Wold, B., Trejo-Lopez, J., Yachnis, A. & Rahman, M. (2020). An Unusual Cause of Intracerebral Hemorrhage: Clinical Pearls Regarding Primary Angiitis of the Central Nervous System., Neurological sciences and neurosurgery, 1(2), NA. doi: 10.47275/2692-093x-109",PD,,WVU
"Gress, T., Miller, M., Meadows, C. & Neitch, S.M. (2020). Benzodiazepine Overuse in Elders: Defining the Problem and Potential Solutions., Cureus, 12(10), e11042. doi: 10.7759/cureus.11042",CRDEB,,"MU, WVU"
"Grund, M.E., Choi, S.J., McNitt, D.H., Barbier, M., Hu, G., LaSala, P.R., Cote, C.K., Berisio, R. & Lukomski, S. (2020). Burkholderia collagen-like protein 8, Bucl8, is a unique outer membrane component of a putative tetrapartite efflux pump in Burkholderia pseudomallei and Burkholderia mallei., PloS one, 15(11), e0242593. doi: 10.1371/journal.pone.0242593",TECH,,WVU
"Harris, R.C. & Fang, W. (2020). Transmetatarsal Amputation Outcomes When Utilized to Address Foot Gangrene and Infection: A Retrospective Chart Review., The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons, NA(NA), NA. doi: 10.1053/j.jfas.2020.08.006",CRDEB,,WVU
"Hayanga, J.W.A., Hayanga, H.K., Dhamija, A., Fugett, J., Cook, C., Powell, D., McCarthy, P., Olfert, M., Badhwar, V. & Toker, A. (2020). Extracorporeal support to treat E-cigarette or vaping product use-associated lung injury (EVALI) during the coronavirus disease 2019 (COVID-19) pandemic., JTCVS techniques, 3(NA), 381-384. doi: 10.1016/j.xjtc.2020.05.015","PD, CRDEB",,WVU
"Li, B., Zhang, T., Liu, W., Wang, Y., Xu, R., Zeng, S., Zhang, R., Zhu, S., Gillies, M.C., Zhu & L., Du (2020). Metabolic Features of Mouse and Human Retinas: Rods versus Cones, Macula versus Periphery, Retina versus RPE., iScience, 23(11), 101672. doi: 10.1016/j.isci.2020.101672",TECH,,WVU
"Lucke-Wold, B., Samaka, R.M., Refaat, B.F. & Zwayed, A.R.H. (2020). Desmoplastic Fibroma of the Skull in an Infant: A Case Report., Neurological sciences and neurosurgery, 1(2), NA. doi: 10.47275/2692-093x-108",PD,,WVU
"Mahoney, J.J., Hanlon, C.A., Marshalek, P.J., Rezai, A.R. & Krinke, L. (2020). Transcranial magnetic stimulation, deep brain stimulation, and other forms of neuromodulation for substance use disorders: Review of modalities and implications for treatment., Journal of the neurological sciences, 418(NA), 117149. doi: 10.1016/j.jns.2020.117149","PD, CRRF",,WVU
"Mir, T.A., Papudesu, C., Fang, W. & Hinkle, D.M. (2020). Incidence of Drug Use-Related Endogenous Endophthalmitis Hospitalizations in the United States, 2003 to 2016., JAMA ophthalmology, NA(NA), NA. doi: 10.1001/jamaophthalmol.2020.4741",CRDEB,,WVU
"Nwafor, D.C., Chakraborty, S., Jun, S., Brichacek, A.L., Dransfeld, M., Gemoets, D.E., Dakhlallah, D. & Brown, C.M. (2020). Disruption of metabolic, sleep, and sensorimotor functional outcomes in a female transgenic mouse model of Alzheimer's disease., Behavioural brain research, 398(NA), 112983. doi: 10.1016/j.bbr.2020.112983","TECH, ADMIN",,WVU
"Oliverio, R., Karelina, K. & Weil, Z.M. (2020). Sex, Drugs, and TBI: The Role of Sex in Substance Abuse Related to Traumatic Brain Injuries., Frontiers in neurology, 11(NA), 546775. doi: 10.3389/fneur.2020.546775",ADMIN,,WVU
"Pyles, L.A., Lilly, C.L., Joseph, A., Mullett, C.J. & Neal, W.A. (2020). Cardiometabolic risk factors in siblings from a statewide screening program., Journal of clinical lipidology, 14(6), 762-771. doi: 10.1016/j.jacl.2020.09.003",CRDEB,,WVU
"Reed, B., Tabone, L.E., Tabone, J.K., Szoka, N., Abunnaja, S. & Bailey, K. (2020). The use of an activity tracker to objectively measure inpatient activity after bariatric surgery., Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery, 17(1), 90-95. doi: 10.1016/j.soard.2020.08.033",PILOT,,WVU
"Schmidt, C.R., Harris, B.R., Musgrove, K.A., Rao, P., Marsh, J.W., Thomay, A.A., Hogg, M.E., Zeh, H.J., Zureikat, A.H. & Boone, B.A. (2020). Formal robotic training diminishes the learning curve for robotic pancreatoduodenectomy: Implications for new programs in complex robotic surgery., Journal of surgical oncology, NA(NA), NA. doi: 10.1002/jso.26284",ADMIN,,WVU
"Sedney, C.L., Haggerty, T., Zizzi, S. & Dekeseredy, P. (2020). Identifying community physical activity and health resources for treatment of back pain by utilizing members of a physical activity network., BMC public health, 20(1), 1487. doi: 10.1186/s12889-020-09569-6","PD, CEO",,WVU
"Tadros, A., Sharon, M., Crum, M., Johnson, R., Quedado, K. & Fang, W. (2020). Coexistence of Substance Abuse among Emergency Department Patients Presenting with Suicidal Ideation., BioMed research international, 2020(NA), 7460701. doi: 10.1155/2020/7460701",CRDEB,,WVU
