Cores,Type,Title,PI,Direct,Indirect,Funding
ADMIN,Other,Tailored Recovery and Engagement of Equitable Treatment of OUD and Pain (TREEETOP),"Winstanley, Erin",822589,427746,1250335
CRRF,Industry,"A Phase III, Randomized, Double-Blind, Placebo Controlled, Multi-Center, International Study of Durvalumab Given Concurrently With Definitive Chemoradiation Therapy (cDRT) in Patients With Locally Advanced, Unresectable Esophageal Squamous Cell Carcinoma (","Abbas, Ghulam",47930,16840,64770
PILOT,Federal,Developing Targeted Therapies for Triple-Negative Breast Cancer,"Agazie, Yehenew",1250000,650000,1900000
PILOT,Federal,Targeting SHP2 as a precision medicine for the treatment of HER2-positive breast cancer,"Agazie, Yehenew",1136887,568443,1705330
CRRF,Industry,"Randomized, Double-Blind, Placebo-Controlled Trial of Tomivosertib in Combination With Anti-PD-L1 Therapy in Subjects With Non-Small Cell Lung Cancer as First-Line Therapy or When Progressing on Single-Agent First-Line Anti-PD-L1 Therapy","Almubarak, Mohammed",22825,5934,28759
CRRF,Industry,A Phase 2 Efficacy and Safety Trial of ADU-S100 and Pembrolizumab in Adults with Head and Neck Cancer,"Almubarak, Mohammed",29094.75,7564.64,36659.39
"ADMIN, CRRF",Industry,"An Open-Label, Single-Arm, Single-Dose, Prospective, Multicenter Phase 3 Study to Establish the Diagnostic Performance of F-Fluciclovine Positron Emission Tomography (PET) in Detecting Recurrent Brain Metastases after Radiation Therapy (REVELATE)","Aulakh, Sonikpreet",11950,4199,16149
"ADMIN, CRRF",Industry,A Phase I/II study of Radiation/Temozolomide and Immunotherapy with Daratumumab to Improve Antitumor Efficacy in Glioblastoma (PRIDE).,"Aulakh, Sonikpreet",9828,2555,12383
PD,Other,Utilization of mobile thromboelastography to monitor and treat progressive coagulopathy during prolonged field care,"Bardes, James",561637,223207,784844
"PD, CRDEB",Federal,Study of TEG 6s in Aeromedical Evacuation,"Bardes, James",0,0,0
CEO,State,Emergency Medicine Department Based Peer Recovery Support Services for OUD.,"Berry, James",552727,147271,699998
"ADMIN, PD",Other,Induction of Anti-Tumor Immunity Utilizing Scl-1 Targeted Therapeutic Infection with Group A Streptococcus in Pancreatic Adenocarcinoma,"Boone, Brian",50000,0,50000
"ADMIN, PD",Other,Peri-operative Hydroxychloroquine to Target Cancer Promoting Neutrophil Traps in Patients Undergoing Resection of Pancreatic Adenocarcinoma,"Boone, Brian",99823,0,99823
ADMIN,Industry,Pragmatic Trial of Remote Cognitive Behavior Therapy for Major Depression and Anxiety for the Underserved Population,"Bossarte, Robert",162412,84454,246866
ADMIN,Federal,Comparative Effectiveness of Best-Practices Mental Health Apps for College Students with Significant Symptoms of COVID-Related Anxiety and Mood Disorders,"Bossarte, Robert",2248614,1044959,3293573
ADMIN,Other,Addressing Unmet Social Needs for Overdose Preventionb,"Bossarte, Robert",124326,64650,188976
"ADMIN, CRRF",Industry,CoVPN Site Preparedness & CoVPN 3006,"Burrell, Carmen",50000,25999,75999
"ADMIN, CRRF",Industry,CoVPN Site Preparedness & CoVPN 3006,"Burrell, Carmen",50000,25999,75999
CRRF,Industry,"Prospective, multi-center, double-blind, randomized, active-controlled, triple-dummy, parallel-group, group-sequential, adaptive Phase 3 clinical study to compare the efficacy and safety of macitentan and tadalafil monotherapies with the corresponding fixe","Caccamo, Marco",0,0,0
ADMIN,Federal,Reactive oxygen species generation in response to changes in radiation dose rate in human glioblastoma,"Cifarelli, Christopher",1836508,954984,2791492
CRRF,Industry,"Phase III, Randomized, Open-Label, Clinical Trial to Compare Pembrolizumab with Brentuximab Vedotin in Subjects with Relapsed or Refractory Classical Hodgkins Lymphoma","Craig, Michael",21173,5505,26678
CRRF,Federal,A Phase II Trial of PET-Directed Therapy for Limited Stage Diffuse Large B-Cell Lymphoma,"Craig, Michael",7000,0,7000
CRRF,Industry,"eA Phase 3, Multicenter, Randomized, Open-label Study to Compare the Efficacy and Safety of Pomalidomide (POM), Bortezomib (BTZ) and Low-Dose Dexamethasone (LD-DEX) versus Bortezomib and Low-Dose Dexamethasone in Subjects with Relapsed or Refractory Multip","Craig, Michael",45267,11770,57037
CRRF,Industry,Phase I To determine the maximum tolerated dose (MTD) of ixazomib in combination with ibrutinib in patients with relapsed/refractory mantle cell lymphoma (MCL). Phase II To determine the complete response (CR) rate of ixazomib in combination with ibrutinib,"Craig, Michael",5800,0,5800
CRRF,Industry,"A multicenter, randomized, open-label Phase 2 study evaluating the safety and efficacy of three different regimens of oral panobinostat in combination with subcutaneous bortezomib and oral dexamethasone in patients with relapsed or relapsed/refractory mult","Craig, Michael",65475.71,21449.84,86925.55
ADMIN,Other,Evaluation of a COVID-19 vaccine produced by the Serum Institute of India,"Damron, Fredrick",214474,85526,300000
PD,Other,WV AWARE (Asking Women About Relationship Experiences) COVID-19 Enhancement Proposal,"Davidov, Danielle",32557,10581,43138
TECH,Federal,Biocompatible triarylmethyl radical-based dendrimers as nonmetallic contrast agents for MRI,"Driesschaert, Benoit",1250000,650000,1900000
"CRRF, ADMIN",Other,"CTN-0100: Optimizing Retention, Duration and Discontinuation Strategies for Opioid Use Disorder Pharmacotherapy (RDD) Year 2","Feinberg, Judith",563794,293173,856967
ADMIN,Federal,Lung Cancer Brain Metastasis: The Exportin 1 Connection,"Gao, Weimin",275000,143000,418000
PD,State,"Children's In-Home and Community-Based Services Improvement Evaluation Project, Phase IIIa","Hartley, Summer",1061989,163972,1225961
CEO,State,"SOR Treatment, Access and Retention - Hub and Spokes, CM, SUD ACT and telehealth","Haut, Marc",2287828,409566,2697394
"ADMIN, PD",Federal,Targeting calcium homeostasis for the treatment of egfr driven lung cancer,"Hazlehurst, Lori",1291790,628050,1919840
"ADMIN, CRDEB, CEO, CRRF",Federal,"Emergence, Progression and Impact of SARS-CoV-2 Variants in West Virginia","Hodder, Sally",499816,178213,678029
"ADMIN, CRRF, CRDEB",Federal,Post-Acute Sequelae of SARS-COV-2 Studies Among Underserved and Rural populations,"Hodder, Sally",75547936,3897515,79445451
"ADMIN, CEO",Federal,Mindful West Virginia School Personnel Evaluation,"Jarrett, Traci",9057,2943,12000
"CEO, ADMIN",Other,Connecting Behavioral Science to the COVID-19 Vaccine Demand (CBS-CVD) Network,"Jarrett, Traci",399503,100497,500000
CRRF,Industry,Evaluate safety of the multiple investigational agents to reduce the duration of COVID-19 symptoms and determine if the agents will prevent hospitalizations or death.,"Jenkins, Hannah",8218,2137,10355
CRRF,Industry,Evaluate safety of the multiple investigational agents to reduce the duration of COVID-19 symptoms and determine if the agents will prevent hospitalizations or death.,"Jenkins, Hannah",8108,2108,10216
"ADMIN, CEO",Federal,WV Program to Increase Colorectal Cancer Screening,"Kennedy-Rea, Stephenie",2811982,807097,3619079
"ADMIN, CEO",Other,Accelerating Colorectal Cancer Screening and Follow-Up (ACCSIS) Local Innovation Evaluation,"Kennedy-Rea, Stephenie",110799,57615,168414
"PILOT, CRRF",Industry,PVSRIPO with and without Immune Checkpoint Blockade in Advanced PD-1 Refractory Melanoma,"Kolodney, Joanna",16948,5954,22902
ADMIN,Industry,"A Randomized, Sham-Controlled, Double-Blind Study of Vaus Nerve Stimulation for Moderate-to-Severe Rheumatoid Arthritis: The RESET-RA Study","Konrad, Peter",10175.2,2951.3,13126.5
"ADMIN, PD",Industry,Medtronics Fellowship Grant,"Konrad, Peter",25000,0,25000
CRRF,Other,Drug Drug Interactions Between Anticancer Agents and Antidepressants in Breast Cancer Patients,"Kurian, Sobha",39537,20559,60096
CRRF,Other,"An International, Phase 3, Multicenter, Randomized, Open-Label Trial Comparing Balixafortide in combination with Eribulin versus Eribulin alone in Patients with HER2 negative, Locally Recurrent or Metastatic Breast Cancer","Kurian, Sobha",44681.75,11617.25,56299
"CEO, CRRF, ADMIN",Other,A multicenter adaptive randomized placebo-controlled platform trial evaluating the efficacy and safety of antithrombotic strategies in COVID-19 adults not requiring hospitalization at time of diagnosis,"Lewis, William",105263,54737,160000
CRRF,Industry,Hepatic Research Registry,"Marsh, James",31000,8060,39060
CRRF,Industry,"A prospective, randomized, double-blind, sham-controlled clinical study assessing the safety and efficacy of Nerivio for the preventive treatment of migraine. [Protocol TCH-008]","Najib, Umer",1925,500.5,2425.5
CRDEB,Federal,CRISPR-Cas9 Genome Edited MSCs to Target OA Cartilage Regeneration,"Pei, Ming",1584761,635300,2220061
"ADMIN, CRRF",State,ELC Enhancing Detection through Coronavirus Response and Relief (CRR) Supplemental Funds,"Perrotta, Peter",4328905,1181384,5510289
ADMIN,Federal,Identifying Stigma Reduction Targets in the Context of an Appalachian HIV Outbreak,"Pollini, Robin",295554,130551,426105
"TECH, CRRF",Federal,A PET/CT scanner for guiding treatment of head and neck cancer,"Raylman, Raymond",390517,95942,486459
CRRF,Industry,A Pivotal Clinical Trial to Evaluate the Safety and Efficacy of Staged Bilateral Exablate Treatement of Medication Refractory Essential Tremor - ET005,"Rezai, Ali",28112,8152.48,36264.48
"TECH, ADMIN",Federal,"Mitigating Nanomaterial Pathogenicity through Mechanism-Based ""Safe-by-Design"" Strategies","Rojanasakul, Yon",1250000,650000,1900000
"PD, CRDEB, CRRF",Federal,Machine Learning Approaches to Unraveling Persistent Acute Kidney Injury after Cardiac Surgery,"Sakhuja, Ankit",726546,58124,784670
"PD, PILOT, CEO",Federal,Predicting and optimizing success of treatment for patients with painful spinal infections and substance use disorder,"Sedney, Cara",1926065,1001554,2927619
CRRF,Federal,Proteasome Function in Alzheimer's Disease,"Smith, David",303162,157644,460806
CRRF,Industry,"A PHASE III, OPEN-LABEL, RANDOMIZED STUDY OF MPDL3280A (Anti&#8722;PDL1 ANTIBODY) COMPARED WITH CISPLATIN OR CARBOPLATIN+PEMETREXED FOR PD-L1&#8722;SELECTED CHEMOTHERAPY NAIVE PATIENTS WITH STAGE IV NON-SQUAMOUS NON&#8722;SMALL CELL LUNG CANCER","Soltani, Sanaz",28295,9942,38237
"PD, ADMIN",Other,A Novel Education Intervention to Improve Provider Management of Sleep Apnea in Rural Communities,"Stansbury, Robert",229771,18382,248153
"PD, CRRF",Federal,A Novel Education Intervention to Improve Provider Management of Sleep Apnea in Rural Communities,"Stansbury, Robert",740228,59095,799323
CRRF,Industry,To assess the CM patient throughout the first year after their diagnosis to identify patient reported benefits and the psychosocial impact of prognostic testing. To determine if patients experience regret after having prognostic testing done.,"Thomay, Alan",27777,9759,37536
CRRF,Industry,Outcomes of Cutaneous Melanoma Patients Clinically Tested DecisionDx(R)-Melanoma,"Thomay, Alan",35791,12575,48366
CRRF,Industry,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Study of the Bruton's Tyrosine Kinase (BTK) Inhibitor, Ibrutinib, in Combination with Rituximab versus Placebo in Combination with Rituximab in Treatment Nave Subjects with Follicular Lymp","Veltri, Lauren",26404,6865,33269
"PILOT, CRDEB",Federal,Smoking-associated Drivers of HPV-negative Appalachian HNSCC,"Weed, Scott",275000,143000,418000
ADMIN,State,Behavioral Health Workforce and Disparities Training Center,"Winstanley, Erin",218368,70970,289338
PILOT,Federal,Targeting BK Channel for Improved Cardiac Toxicity in TNBC Treatment,"Yu, Hangang",450000,234000,684000
