affiliation,pmid,lon,lat,Country,Address
"School Of Public Health, West Virginia University, One Medical Center Drive, Morgantown, Wv 26506, United States. Electronic Address: Zd0001@Hsc.wvu.edu.",32590196,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"School Of Pharmacy, West Virginia University, 1124 Health Sciences North, Morgantown, Wv 26506, United States.",32590196,-79.9582192,39.655109,United States,"Robert C. Bryd Health Sciences Center, 5706 Health Sciences Ctr S, Morgantown, Wv 26506, Usa"
"School Of Public Health, University Of Alabama At Birmingham, 327f Ryals Public Health Building, Birmingham, Al 35294, United States.",32590196,-86.80390159999999,33.5019303,United States,"1665 University Blvd, Birmingham, Al 35233, Usa"
"School Of Public Health, West Virginia University, One Medical Center Drive, Morgantown, Wv 26506, United States.",32590196,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"West Virginia Office Of The Chief Medical Examiner, West Virginia Department Of Health And Human Resources, 619 Virginia Street West, Charleston, Wv 25302, United States.",32590196,-81.6501684,38.3631078,United States,"619 Virginia St W, Charleston, Wv 25302, Usa"
"Departments Of Medicine, Surgery, And Biomedical Sciences, Joan C. Edwards School Of Medicine, Marshall University, Huntington, West Virginia.",32587074,-82.4268836,38.4090996,United States,"1600 Medical Center Dr, Huntington, Wv 25701, Usa"
"Departments Of Medicine And Pharmacology, New York Medical College, Valhalla, New York.",32587074,-73.8090021,41.0845876,United States,"40 Sunshine Cottage Rd, Valhalla, Ny 10595, Usa"
"Departments Of Medicine, Surgery, And Biomedical Sciences, Joan C. Edwards School Of Medicine, Marshall University, Huntington, West Virginia Shapiroj@Marshall.edu.",32587074,-82.4268836,38.4090996,United States,"1600 Medical Center Dr, Huntington, Wv 25701, Usa"
"Clinical And Translational Sciences Institute, West Virginia University, Morgantown, Usa.",32586284,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Animal Models &Amp; Imaging Facility, Cancer Institute, West Virginia University, Morgantown, Usa.",32586284,99,99,United States,"Morgantown, Wv 26506, Usa"
"Department Of Physiology &Amp; Pharmacology, West Virginia University, Morgantown, Wv, 26506, Usa.",32586284,-75.19771080000001,39.9498235,United States,"700 Clinical Research Building, 415 Curie Blvd, Philadelphia, Pa 19104, Usa"
"Department Of Microbiology And Cell Biology, Flow Cytometry Facility, West Virginia University, Morgantown, Usa.",32586284,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Biochemistry, Cancer Institute, West Virginia University, Morgantown, Usa.",32586284,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Pathology, West Virginia University, Morgantown, Usa.",32586284,-79.9573549,39.6534151,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Radiation Oncology, Cancer Institute, West Virginia University, Morgantown, Usa.",32586284,-79.9584371,39.6539232,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Physiology &Amp; Pharmacology, West Virginia University, Morgantown, Wv, 26506, Usa. Hyu@Hsc.wvu.edu.",32586284,-75.19771080000001,39.9498235,United States,"700 Clinical Research Building, 415 Curie Blvd, Philadelphia, Pa 19104, Usa"
"Department Of Physiology And Pharmacology, West Virginia University, Morgantown, Wv, Usa.",32572994,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Biological Sciences, Brain Health Research Institute, Kent State University, Kent, Oh, Usa.",32572994,-81.33928829999999,41.1455594,United States,"800 E Summit St, Kent, Oh 44240, Usa"
"Department Of Dental Practice And Rural Health, School Of Dentistry, West Virginia University, Morgantown, Wv 26506-9448 Usa. Electronic Address: Rwiener2@Hsc.wvu.edu.",32565345,-79.957355,39.653415,United States,"1 Medical Center Dr, Morgantown, Wv 26505, Usa"
"Rutgers University, School Of Social Work, 120 Albany Street, New Brunswick, Nj 08901 Usa. Electronic Address: Pfindley@Ssw.rutgers.edu.",32565345,-74.4462709,40.501347,United States,"536 George St, New Brunswick, Nj 08901, Usa"
"Department Of Surgery, Penn State, Cancer Institute, Hershey, Pa 17033 Usa. Electronic Address: Cshen@Pennstatehealth.psu.edu.",32565345,-76.6744677,40.2645547,United States,"400 University Dr, Hershey, Pa 17033, Usa"
