Citation,PC,SCs
"Cifarelli, C.P., Jacques, A. & Bobko, A. (2021). Heterogeneity of radiation response in mesenchymal subtype glioblastoma: molecular profiling and reactive oxygen species generation., Journal of neuro-oncology, 152(2), 245-255. doi: 10.1007/s11060-021-03707-9",ADMIN,
"Johnson, B.D., Geldenhuys, W.J. & Hazlehurst, L.A. (2021). The Role of ERO1Î± in Modulating Cancer Progression and Immune Escape., Journal of cancer immunology, 2(3), 103-115. doi: 10.33696/cancerimmunol.2.023",ADMIN,
"Mehta, R.I., Carpenter, J.S., Haut, M.W., Ranjan, M., Najib, U., Lockman, P., Wang, P., D'haese, P.F. & Rezai, A.R. (2021). Blood-Brain Barrier Opening with MRI-guided Focused Ultrasound Elicits Meningeal Venous Permeability in Humans with Early Alzheimer Disease., Radiology, 298(3), 654-662. doi: 10.1148/radiol.2021200643",ADMIN,"CRRF, TECH"
"Russell, A.E., Cavendish, J.Z., Rai, A., Vannoy, M., Dakhlallah, A.H., Hu, H., Ren, X., Amer, A., Brown, C.M., Marsh, C.B., Simpkins, J.W. & Dakhlallah, D. (2021). Intermittent Lipopolysaccharide Exposure Significantly Increases Cortical Infarct Size and Impairs Autophagy., ASN neuro, 13(NA), 1759091421991769. doi: 10.1177/1759091421991769",ADMIN,
"Wiener, R.C. & Bhandari, R. (2021). Association between adverse childhood experiences among children with special healthcare needs and dental care utilization., Journal of public health dentistry, NA(NA), NA. doi: 10.1111/jphd.12450",ADMIN,
"Conway, R.B.N., Armistead, M.G., Denney, M.J. & Smith, G.S. (2021). Validating the Matching of Patients in the Linkage of a Large Hospital System's EHR with State and National Death Databases., Applied clinical informatics, 12(1), 82-89. doi: 10.1055/s-0040-1722220",CRDEB,
"Joseph, A., Mullett, C., Lilly, C., Armistead, M., Cox, H.J., Denney, M., Varma, M., Rich, D., Adjeroh, D.A., Doretto, G., Neal, W. & Pyles, L.A. (2021). Coronary Artery Disease Phenotype Detection in an Academic Hospital System Setting., Applied clinical informatics, 12(1), 10-16. doi: 10.1055/s-0040-1721012",CRDEB,
"Lee, C.S., Shaver, K., Yun, S.H., Kim, D., Wen, S. & Ghorayeb, G. (2021). Comparison of the visual outcome between macula-on and macula-off rhegmatogenous retinal detachment based on the duration of macular detachment., BMJ open ophthalmology, 6(1), e000615. doi: 10.1136/bmjophth-2020-000615",CRDEB,
"Skaff, P.R., Phillips, B.S., Lobban, J.H. & Bianco, C.M. (2021). Inadvertent Disabling of Implantable Cardiac Defibrillator Antitachycardia Therapies Following Breast Reconstructive Surgery., JACC. Case reports, 2(11), 1753-1756. doi: 10.1016/j.jaccas.2020.07.018",CRDEB,
"Ward, M.J., Chavis, B., Banerjee, R., Katz, S. & Anders, S. (2021). User-Centered Design in Pediatric Acute Care Settings Antimicrobial Stewardship., Applied clinical informatics, 12(1), 34-40. doi: 10.1055/s-0040-1718757",CRDEB,
"Yanamala, N., Krishna, N.H., Hathaway, Q.A., Radhakrishnan, A., Sunkara, S., Patel, H., Farjo, P., Patel, B. & Sengupta, P.P. (2021). A Vital Sign-based Prediction Algorithm for Differentiating COVID-19 Versus Seasonal Influenza in Hospitalized Patients., medRxiv : the preprint server for health sciences, NA(NA), NA. doi: 10.1101/2021.01.13.21249540",CRDEB,PD
"Smolarz, A., McCarthy, P., Shmookler, A., Badhwar, V., Hayanga, A.J. & Sakhuja, A. (2021). Utilization of Thromboelastogram and Inflammatory Markers in the Management of Hypercoagulable State in Patients with COVID-19 Requiring ECMO Support., Case reports in critical care, 2021(NA), 8824531. doi: 10.1155/2021/8824531",PD,"CRDEB, CRRF, ADMIN"
"Tandon, M., Kataria, S., Patel, J., Mehta, T.R., Daimee, M., Patel, V., Prasad, A., Chowdhary, A.A., Jaiswal, S. & Sriwastava, S. (2021). A Comprehensive Systematic Review of CSF analysis that defines Neurological Manifestations of COVID-19., International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases, 104(NA), 390-397. doi: 10.1016/j.ijid.2021.01.002",PD,
"Moilanen, K.L., DeLong, K.L., Spears, S.K., Gentzler, A.L. & Turiano, N.A. (2021). Predictors of Initial Status and Change in Self-Control During the College Transition., Journal of applied developmental psychology, 73(NA), NA. doi: 10.1016/j.appdev.2020.101235",PILOT,
"Sedney, C.L., Khodaverdi, M., Pollini, R., Dekeseredy, P., Wood, N. & Haggerty, T. (2021). Assessing the impact of a restrictive opioid prescribing law in West Virginia., Substance abuse treatment, prevention, and policy, 16(1), 14. doi: 10.1186/s13011-021-00349-y",PILOT,PD
"Wilson, H.E., Stanton, D.A., Rellick, S., Geldenhuys, W. & Pistilli, E.E. (2021). Breast cancer-associated skeletal muscle mitochondrial dysfunction and lipid accumulation is reversed by PPARG., American journal of physiology. Cell physiology, 320(4), C577-C590. doi: 10.1152/ajpcell.00264.2020",PILOT,
"Lindsley, W.G., Blachere, F.M., Beezhold, D.H., Law, B.F., Derk, R.C., Hettick, J.M., Woodfork, K., Goldsmith, W.T., Harris, J.R., Duling, M.G., Boutin, B., Nurkiewicz & T., Noti (2021). A comparison of performance metrics for cloth face masks as source control devices for simulated cough and exhalation aerosols., medRxiv : the preprint server for health sciences, NA(NA), NA. doi: 10.1101/2021.02.16.21251850",TECH,
"Tseytlin, O., Bobko, A.A. & Tseytlin, M. (2021). Rapid Scan EPR imaging as a Tool for Magnetic Field Mapping., Applied magnetic resonance, 51(9-10), 1117-1124. doi: 10.1007/s00723-020-01238-6",TECH,CRRF
