Citation,PC,SCs
"Boateng, S.Y., Olfert, I.M. & Chantler, P.D. (2021). Role of Perivascular Adipose Tissue and Exercise on Arterial Function with Obesity., Exercise and sport sciences reviews, 49(3), 188-196. doi: 10.1249/JES.0000000000000251","PILOT, PD",
"Chavva, H., Brazeau, D.A., Denvir, J., Primerano, D.A., Fan, J., Seeley, S.L. & Rorabaugh, B.R. (2021). Methamphetamine-induced changes in myocardial gene transcription are sex-dependent., BMC genomics, 22(1), 259. doi: 10.1186/s12864-021-07561-x","TECH, CRDEB",MU
"Crain, M.A., Lakhani, D.A., Balar, A.B., Martin, D., Lombard, C.B. & Nguyen, T.P. (2021). Testicular cancer metastasis to the soft tissue: A case report and review of the literature., Radiology case reports, 16(7), 1695-1699. doi: 10.1016/j.radcr.2021.04.004",CRDEB,
"Crain, M.A., Lakhani, D.A., Kuhnlein, R., Balar, A.B., Neptune, S., Parrish, D., Shorter, N., Adelanwa, A., Nguyen, T.P. & Hailemichael, E. (2021). Small bowel obstruction from hollow foreign body ingestion: A case report and brief review of literature., Radiology case reports, 16(7), 1628-1632. doi: 10.1016/j.radcr.2021.04.025",CRDEB,
"Crocetti, E., Assadzandi, S., Pilkerton, C.S., Ashcraft, A.M. & Shrader, C.D. (2021). Palliative Opioids May Be a Bridge to Care for Rural Long-Term Care Facility Residents with Severe COVID-19 Symptoms., Journal of primary care & community health, 12(NA), 21501327211023706. doi: 10.1177/21501327211023706","PILOT, CRDEB",
"DeVallance, E.R., Branyan, K.W., Olfert, I.M., Pistilli, E.E., Bryner, R.W., Kelley, E.E., Frisbee, J.C. & Chantler, P.D. (2021). Chronic stress induced perivascular adipose tissue impairment of aortic function and the therapeutic effect of exercise., Experimental physiology, 106(6), 1343-1358. doi: 10.1113/EP089449",PILOT,
"Ge, J., Pletcher, M.J. & Lai, J.C. (2021). Outcomes of SARS-CoV-2 Infection in Patients with Chronic Liver Disease and Cirrhosis: a N3C Study., medRxiv : the preprint server for health sciences, NA(NA), NA. doi: 10.1101/2021.06.03.21258312",CRDEB,
"Innes, K.E., Montgomery, C., Selfe, T.K., Wen, S., Khalsa, D.S. & Flick, M. (2021). Incorporating a Usual Care Comparator into a Study of Meditation and Music Listening for Older Adults with Subjective Cognitive Decline: A Randomized Feasibility Trial., Journal of Alzheimer's disease reports, 5(1), 187-206. doi: 10.3233/ADR-200249",CRDEB,
"Kaski, S., Marshalek, P., Herschler, J., Wen, S. & Zheng, W. (2021). Sublingual Buprenorphine/Naloxone and Multi-Modal Management for High-Risk Chronic Pain Patients., Journal of clinical medicine, 10(5), NA. doi: 10.3390/jcm10050973",CRDEB,
"Kim, S.J., Russell, A.E., Wang, W., Gemoets, D.E., Sarkar, S.N., Simpkins, J.W. & Brown, C.M. (2021). miR-146a Dysregulates Energy Metabolism During Neuroinflammation., Journal of neuroimmune pharmacology : the official journal of the Society on NeuroImmune Pharmacology, NA(NA), NA. doi: 10.1007/s11481-021-09999-y","ADMIN, PD",
"Lakhani, D.A., Dada, J., Balar, A.B., Khan, A.U., Patel, Z., Markovich, B. & Nguyen, T.P. (2021). Appendicitis in an incisional hernia sac following renal transplantation: A case report and brief review of the literature., Radiology case reports, 16(7), 1736-1739. doi: 10.1016/j.radcr.2021.04.026",CRDEB,
"Li, W. & Yue, H. (2021). Thymidine Phosphorylase Is Increased in COVID-19 Patients in an Acuity-Dependent Manner., Frontiers in medicine, 8(NA), 653773. doi: 10.3389/fmed.2021.653773",CRDEB,
"Lucas, H.B., McKnight, I., Raines, R., Hijazi, A., Hart, C., Lee, C., Kim, D.G., Li, W., Lee, P.H.U. & Shim, J.W. (2021). Factors Associated with Mutations: Their Matching Rates to Cardiovascular and Neurological Diseases., International journal of molecular sciences, 22(10), NA. doi: 10.3390/ijms22105057",TECH,MU
