ORIGIN,DEST,timezone,size
ATL,BOS,America/New_York,10
ATL,BWI,America/New_York,11
ATL,CLT,America/New_York,10
ATL,DAL,America/New_York,3
ATL,DCA,America/New_York,10
ATL,DEN,America/New_York,14
ATL,DFW,America/New_York,13
ATL,DTW,America/New_York,12
ATL,EWR,America/New_York,7
ATL,FLL,America/New_York,19
ATL,HNL,America/New_York,1
ATL,IAH,America/New_York,8
ATL,JFK,America/New_York,6
ATL,LAS,America/New_York,10
ATL,LAX,America/New_York,14
ATL,LGA,America/New_York,17
ATL,MCO,America/New_York,18
ATL,MDW,America/New_York,7
ATL,MIA,America/New_York,13
ATL,MSP,America/New_York,11
ATL,ORD,America/New_York,9
ATL,OTHER,America/New_York,278
ATL,PDX,America/New_York,3
ATL,PHL,America/New_York,12
ATL,PHX,America/New_York,9
ATL,SAN,America/New_York,5
ATL,SEA,America/New_York,8
ATL,SFO,America/New_York,8
ATL,SLC,America/New_York,7
ATL,TPA,America/New_York,15
BOS,ATL,America/New_York,10
BOS,BWI,America/New_York,10
BOS,CLT,America/New_York,8
BOS,DAL,America/New_York,1
BOS,DCA,America/New_York,6
BOS,DEN,America/New_York,5
BOS,DFW,America/New_York,8
BOS,DTW,America/New_York,6
BOS,EWR,America/New_York,3
BOS,FLL,America/New_York,11
BOS,IAH,America/New_York,3
BOS,JFK,America/New_York,11
BOS,LAS,America/New_York,2
BOS,LAX,America/New_York,8
BOS,LGA,America/New_York,2
BOS,MCO,America/New_York,10
BOS,MDW,America/New_York,3
BOS,MIA,America/New_York,7
BOS,MSP,America/New_York,3
BOS,ORD,America/New_York,9
BOS,OTHER,America/New_York,50
BOS,PDX,America/New_York,1
BOS,PHL,America/New_York,9
BOS,PHX,America/New_York,4
BOS,SAN,America/New_York,2
BOS,SEA,America/New_York,4
BOS,SFO,America/New_York,9
BOS,SLC,America/New_York,2
BOS,TPA,America/New_York,5
BWI,ATL,America/New_York,12
BWI,BOS,America/New_York,11
BWI,CLT,America/New_York,6
BWI,DAL,America/New_York,3
BWI,DEN,America/New_York,4
BWI,DFW,America/New_York,4
