sample_id,cluster_id,cluster_color,tsne_x,tsne_y
LS-14690_S02_E1-50,35,#994C00,25.0726696079047,-2.77068987125466
LS-14690_S03_E1-50,56,#00979D,-39.1872341281264,20.9199490888536
LS-14690_S05_E1-50,56,#00979D,-44.3543411411357,12.0985906429216
LS-14690_S06_E1-50,56,#00979D,-42.8241346699787,21.0532487301163
LS-14690_S07_E1-50,56,#00979D,-42.0845723539003,0.679573393830153
LS-14690_S08_E1-50,56,#00979D,-41.1569426326114,13.0337231213721
LS-14690_S09_E1-50,56,#00979D,-46.8693520411512,5.65762892343703
LS-14690_S10_E1-50,22,#FF4DC1,-3.14596902768869,36.4540828279292
LS-14690_S11_E1-50,52,#7AE6AB,-13.9915590109116,-36.9867688076524
LS-14690_S12_E1-50,56,#00979D,-41.712265704348,3.18027228316927
LS-14690_S13_E1-50,62,#0094C2,-41.0351883668703,0.710502425359471
LS-14690_S14_E1-50,56,#00979D,-45.3913205791624,23.2963753505192
LS-14690_S15_E1-50,56,#00979D,-46.1650443609127,11.459424627023
LS-14690_S16_E1-50,6,#FFA388,30.737758440279,27.0632015200708
LS-14690_S17_E1-50,82,#008F39,9.14875803805783,52.0730013075477
LS-14690_S18_E1-50,38,#BF9F00,18.1242874581847,-23.7923757429545
LS-14690_S19_E1-50,23,#BD3D9A,-13.236458017297,40.5826519394723
LS-14690_S20_E1-50,60,#00FF00,-32.2666223098288,11.1737695761076
LS-14690_S21_E1-50,23,#BD3D9A,-10.7435148412704,39.1445494680326
LS-14690_S22_E1-50,22,#FF4DC1,-2.15737439961977,35.7779722810897
LS-14690_S23_E1-50,19,#FF00FF,-19.5625261774152,24.2705113330641
LS-14690_S24_E1-50,23,#BD3D9A,-10.4219504710393,38.8018783909709
LS-14690_S25_E1-50,19,#FF00FF,-18.498528451249,28.4400825073474
LS-14690_S26_E1-50,84,#73CA95,2.03410626900858,54.0727861429339
LS-14690_S27_E1-50,105,#6B998D,-50.0434580946702,-11.5362329279343
LS-14690_S28_E1-50,56,#00979D,-39.5177464201093,19.093882656705
LS-14690_S29_E1-50,23,#BD3D9A,-10.3803097927425,38.8909053385373
LS-14690_S30_E1-50,82,#008F39,8.09832999857862,53.5641701679234
LS-14690_S31_E1-50,59,#00A809,-25.9526622767348,7.68008418682351
LS-14690_S32_E1-50,38,#BF9F00,18.8555381221522,-22.9166997785727
LS-14690_S33_E1-50,15,#3C3D73,-17.5415703609373,37.0254098193395
LS-14690_S34_E1-50,90,#74CAFF,-42.1330343386308,-24.8760126996252
LS-14690_S35_E1-50,69,#A19922,-25.3768030789793,-4.55898065968017
LS-14690_S36_E1-50,90,#74CAFF,-39.4784423132622,-21.1379280942633
LS-14690_S37_E1-50,6,#FFA388,31.708836254152,30.0449097655788
LS-14690_S38_E1-50,70,#C2E32C,-28.1720877313249,-5.80667382111119
LS-14690_S39_E1-50,82,#008F39,10.2979491342407,52.4390672397829
LS-14690_S40_E1-50,69,#A19922,-26.5240502184786,-13.3571288363179
LS-14690_S41_E1-50,71,#96E32C,-38.9922950880534,-6.6383118232372
LS-14690_S42_E1-50,70,#C2E32C,-28.794284893782,-0.92771514079842
LS-14690_S43_E1-50,69,#A19922,-22.8441564773302,-10.8949793034225
LS-14690_S44_E1-50,70,#C2E32C,-36.3862069405212,-10.6495637844807
LS-14690_S45_E1-50,106,#476662,-18.8507412102272,-52.4720637726025
LS-14690_S46_E1-50,26,#FFFF00,-32.9355248503163,-44.8450157797873
LS-14690_S47_E1-50,69,#A19922,-25.6331992302954,-3.94240786146409
LS-14690_S48_E1-50,69,#A19922,-18.4743631786519,-9.89312131856037
LS-14690_S57_E1-50,6,#FFA388,29.8706232790644,28.007297933072
LS-14690_S58_E1-50,23,#BD3D9A,-8.72500457735881,39.7526521362194
LS-14690_S59_E1-50,4,#DD6091,9.81741014370807,16.5352318010541
LS-14690_S60_E1-50,14,#7779BF,-12.1921297890874,14.487964323388
LS-14690_S61_E1-50,25,#992E81,-0.551381470362352,25.0960447565792
LS-14690_S62_E1-50,4,#DD6091,10.30328982148,16.9144984834464
LS-14690_S63_E1-50,6,#FFA388,27.510628660544,25.4722318983787
LS-14690_S64_E1-50,19,#FF00FF,-17.3106313073325,29.440586737204
LS-14690_S65_E1-50,24,#AF00E6,-1.57648009158685,19.1099279131834
LS-14690_S66_E1-50,14,#7779BF,-12.3149666026115,14.0516873962774
LS-14690_S67_E1-50,23,#BD3D9A,-17.2099099272993,38.4138829072822
LS-14690_S68_E1-50,16,#B09FFF,-22.3169655277959,36.4372310057623
LS-14690_S69_E1-50,6,#FFA388,30.5704079251502,27.0568362864107
LS-14690_S70_E1-50,48,#D6221D,38.7550671350122,6.92220512159315
LS-14690_S71_E1-50,14,#7779BF,-13.4665502527767,14.1885308134163
LS-14690_S73_E1-50,19,#FF00FF,-18.9338377799719,30.9540419806051
LS-14690_S74_E1-50,15,#3C3D73,-17.4599513833482,37.5032204756787
LS-14690_S75_E1-50,6,#FFA388,27.5040494769822,31.0255988578858
LS-14690_S76_E1-50,6,#FFA388,28.9368454140253,26.7620337845363
LS-14690_S77_E1-50,18,#756FB3,-22.0587447685156,24.0161091736758
LS-14690_S78_E1-50,14,#7779BF,-11.9791420727116,14.0840906604172
LS-14690_S79_E1-50,19,#FF00FF,-16.1773840294043,29.1846605274326
LS-14690_S80_E1-50,14,#7779BF,-12.7598438202746,14.7821787230224
LS-14690_S81_E1-50,25,#992E81,-0.740718492485848,30.4553439582246
LS-14690_S82_E1-50,6,#FFA388,21.7560702699957,30.638391685013602
LS-14690_S83_E1-50,6,#FFA388,26.960324528733,18.3966159201469
LS-14690_S84_E1-50,21,#FF00B3,-8.64264670450711,19.0997611453054
LS-14690_S85_E1-50,4,#DD6091,10.0405421755943,16.7187972640238
LS-14690_S86_E1-50,4,#DD6091,10.4225951639373,17.0970329120924
LS-14690_S87_E1-50,23,#BD3D9A,-9.61821212342415,38.5029906184415
LS-14690_S88_E1-50,4,#DD6091,11.8774212497163,19.0334019938507
LS-14690_S89_E1-50,25,#992E81,0.0362425711459489,29.5562217405827
LS-14690_S90_E1-50,5,#FF7290,23.1908811174808,14.3568928552774
LS-14690_S91_E1-50,6,#FFA388,28.5227410369044,19.7634606872672
LS-14690_S92_E1-50,15,#3C3D73,-9.14130558148298,18.8661375963581
LS-14690_S93_E1-50,12,#7A0099,4.1149380619561,31.0548871742246
LS-14690_S94_E1-50,3,#E67B73,10.1334599898013,16.9784866574979
LS-14690_S95_E1-50,5,#FF7290,26.4810213912064,19.2180395648635
LS-14690_S96_E1-50,6,#FFA388,21.7515285197533,30.8623275850581
LS-14692_S01_E1-50,52,#7AE6AB,-2.19795002235086,-43.9545987410141
LS-14692_S02_E1-50,56,#00979D,-39.8444284523753,20.9883168706068
LS-14692_S03_E1-50,56,#00979D,-46.1781632018673,3.77208868476444
LS-14692_S04_E1-50,56,#00979D,-47.4854777184024,4.76683980214497
LS-14692_S05_E1-50,56,#00979D,-46.5204119313669,3.66562313382159
LS-14692_S06_E1-50,56,#00979D,-48.2868030691712,15.7547958417916
LS-14692_S07_E1-50,56,#00979D,-38.2434632942443,25.9291745520001
LS-14692_S08_E1-50,56,#00979D,-40.9110741276804,0.636455118873041
LS-14692_S09_E1-50,56,#00979D,-41.572377698506,24.7599444649653
LS-14692_S10_E1-50,56,#00979D,-41.9015752459843,14.2899682893659
LS-14692_S11_E1-50,56,#00979D,-39.3107495682335,9.57430947241687
LS-14692_S12_E1-50,56,#00979D,-35.0550335044271,25.3001897141277
LS-14692_S13_E1-50,56,#00979D,-43.8266093715859,22.4493360951127
LS-14692_S14_E1-50,56,#00979D,-39.3222813140912,9.55549740464753
LS-14692_S15_E1-50,56,#00979D,-48.4049764954898,15.7081250703892
LS-14692_S16_E1-50,56,#00979D,-41.9216231887307,14.1006178873366
LS-14692_S17_E1-50,69,#A19922,-16.1022048721424,-9.26504306990207
LS-14692_S18_E1-50,43,#ED4C50,39.6889337822495,-19.630865276964
LS-14692_S19_E1-50,70,#C2E32C,-28.783499628242,-2.17060214391297
LS-14692_S20_E1-50,72,#5100FF,-7.89352882304282,-15.1209018398788
LS-14692_S21_E1-50,69,#A19922,-20.6718542804207,-2.79228236965156
LS-14692_S22_E1-50,106,#476662,-17.9079274154391,-53.43452688713
LS-14692_S23_E1-50,82,#008F39,9.63180498147286,52.8582083081927
LS-14692_S24_E1-50,84,#73CA95,3.67460546414399,53.2796301468325
LS-14692_S33_E1-50,19,#FF00FF,-17.3407536624991,29.629003435436
LS-14692_S34_E1-50,24,#AF00E6,2.27137611202728,24.9246447518357
LS-14692_S35_E1-50,19,#FF00FF,-13.4373667446739,28.002857641783
LS-14692_S36_E1-50,4,#DD6091,9.98452794212178,16.9943699160854
LS-14692_S37_E1-50,2,#FF88AD,11.9970003356595,24.9277845341208
LS-14692_S38_E1-50,6,#FFA388,26.0868659226474,29.252445544617
LS-14692_S39_E1-50,11,#9900B3,10.6198011204827,28.294036234783
LS-14692_S40_E1-50,6,#FFA388,28.7193083642872,34.4622449403174
LS-14692_S41_E1-50,29,#FFB307,17.5264168736285,-26.6661627581471
LS-14692_S42_E1-50,37,#802600,28.9399167266709,-32.0720652024889
LS-14692_S43_E1-50,48,#D6221D,45.4397547440646,1.35853910904302
LS-14692_S44_E1-50,43,#ED4C50,40.1426173322094,-18.3721965037669
LS-14692_S45_E1-50,48,#D6221D,24.6550045922975,-0.502387110536552
LS-14692_S46_E1-50,48,#D6221D,45.7235196770207,1.32791031396775
LS-14692_S47_E1-50,29,#FFB307,12.9490162238907,-31.6209099360427
LS-14692_S48_E1-50,16,#B09FFF,-15.9748670915232,45.1732416773684
LS-14692_S49_E1-50,45,#BC2B11,41.8358324907527,-4.93886990598967
LS-14692_S50_E1-50,48,#D6221D,41.2645236091684,-2.24809195845647
LS-14692_S51_E1-50,14,#7779BF,-10.9992482837577,14.3443365292564
LS-14692_S52_E1-50,37,#802600,29.4493867175808,-33.4911306021299
LS-14692_S53_E1-50,48,#D6221D,45.2992344331471,-0.30531869050121
LS-14692_S54_E1-50,16,#B09FFF,-23.075942939685,38.0760370265331
LS-14692_S55_E1-50,6,#FFA388,23.867996546093,30.6329474875226
LS-14692_S57_E1-50,44,#FF2F7E,32.6947685703274,-31.7563328334054
LS-14692_S58_E1-50,16,#B09FFF,-22.9793010484551,37.9272405018017
LS-14692_S59_E1-50,45,#BC2B11,46.0647906027929,-5.98577043370307
LS-14692_S60_E1-50,45,#BC2B11,48.6479497617334,-1.17090415145231
LS-14692_S61_E1-50,6,#FFA388,28.2606096477656,31.6074078850625
LS-14692_S62_E1-50,6,#FFA388,28.1339622136218,30.5411158751803
LS-14692_S63_E1-50,32,#FFBB33,15.7335592661784,-14.9591312050612
LS-14692_S64_E1-50,30,#FFDF11,12.1013740615294,-17.6111076481946
LS-14692_S65_E1-50,17,#9FAAFF,-25.30399386252,34.6065953235184
LS-14692_S66_E1-50,16,#B09FFF,-18.1656501528865,37.7088271510794
LS-14692_S67_E1-50,37,#802600,30.3887548431222,-29.6740568971979
LS-14692_S68_E1-50,30,#FFDF11,5.23357246038951,-23.2097909636193
LS-14692_S69_E1-50,10,#6C00BF,6.64780286720988,36.6362384722422
LS-14692_S70_E1-50,16,#B09FFF,-22.6233531840405,37.8544320523174
LS-14692_S71_E1-50,36,#BF8219,27.5703841386703,-33.3690423748141
LS-14692_S72_E1-50,40,#C11331,24.5778643817457,-26.2930877513577
LS-14692_S73_E1-50,44,#FF2F7E,35.8312468356065,-16.0277216293987
LS-14692_S74_E1-50,8,#C77963,28.0187854622108,41.7473977060834
LS-14692_S75_E1-50,32,#FFBB33,14.4169884676498,-15.2396648443838
LS-14692_S76_E1-50,40,#C11331,25.7374609615681,-26.6826152955184
LS-14692_S77_E1-50,26,#FFFF00,-31.7442026555407,-43.9585154138452
LS-14692_S78_E1-50,106,#476662,-19.6610558538694,-51.9792437615035
LS-14692_S79_E1-50,42,#A81111,34.2246822846609,-15.2717088862309
LS-14692_S80_E1-50,13,#9440F3,7.54748659787531,37.759892931365
LS-14692_S81_E1-50,6,#FFA388,26.3051930860905,20.5072731281416
LS-14692_S82_E1-50,11,#9900B3,8.51388476649563,30.2483674790369
LS-14692_S83_E1-50,5,#FF7290,28.556047925995,18.4464594434017
LS-14692_S84_E1-50,11,#9900B3,13.8879731411848,30.4946961923168
LS-14692_S85_E1-50,49,#FF197F,4.98667627825089,-54.8528956917591
LS-14692_S86_E1-50,5,#FF7290,21.4966337702316,13.032008996448
LS-14692_S87_E1-50,5,#FF7290,21.430118064737,12.9929372345241
LS-14692_S88_E1-50,6,#FFA388,29.2074880001772,20.3641477076544
LS-14692_S89_E1-50,4,#DD6091,11.8578244275159,17.0822144914927
LS-14692_S90_E1-50,25,#992E81,-0.141346256452322,25.3207753034167
LS-14692_S91_E1-50,1,#DDACC9,16.6437540074885,30.5323871589424
LS-14692_S92_E1-50,4,#DD6091,14.5792165477624,15.4029789582859
LS-14692_S93_E1-50,6,#FFA388,26.9285705531931,30.791099504301
LS-14692_S94_E1-50,4,#DD6091,11.0388991870241,17.5389948485183
LS-14692_S95_E1-50,5,#FF7290,28.5456547208116,19.1549514374002
LS-14692_S96_E1-50,15,#3C3D73,6.77215079534843,17.4824565060569
LS-14696_S01_E1-50,16,#B09FFF,-19.2306095512758,41.0978705842255
LS-14696_S02_E1-50,4,#DD6091,11.5022013969646,17.9190123271584
LS-14696_S03_E1-50,16,#B09FFF,-19.1937852560727,41.1328736914949
LS-14696_S04_E1-50,14,#7779BF,-10.988920143606,14.3743365526122
LS-14696_S05_E1-50,38,#BF9F00,20.1277352460597,-21.9442893434265
LS-14696_S06_E1-50,19,#FF00FF,-18.8123529856956,30.8209881412504
LS-14696_S07_E1-50,14,#7779BF,-12.6832529825757,14.1334866578753
LS-14696_S08_E1-50,23,#BD3D9A,-8.62341013875454,39.7580847569617
LS-14696_S09_E1-50,28,#FF9F2C,4.19699807279133,-24.6612123768265
LS-14696_S10_E1-50,38,#BF9F00,18.7952743298123,-22.0365470289667
LS-14696_S11_E1-50,9,#A700FF,1.42318804464738,40.1538717611426
LS-14696_S12_E1-50,48,#D6221D,29.7431672965179,3.87652035451827
LS-14696_S13_E1-50,37,#802600,30.7783131685564,-30.2725373060618
LS-14696_S14_E1-50,27,#FF8011,2.54632722394313,-21.727160284009
LS-14696_S15_E1-50,19,#FF00FF,-15.7295656990425,27.6882296834796
LS-14696_S16_E1-50,16,#B09FFF,-19.296355987643,39.7777216839073
LS-14696_S25_E1-50,6,#FFA388,27.8648880311417,31.5011334101023
LS-14696_S26_E1-50,8,#C77963,27.498837991573,42.126992400356
LS-14696_S27_E1-50,44,#FF2F7E,37.5406392651191,-15.3369184756895
LS-14696_S28_E1-50,9,#A700FF,4.2299144075322,38.4331679142899
LS-14696_S29_E1-50,6,#FFA388,21.2235909213268,30.9546287313638
LS-14696_S30_E1-50,5,#FF7290,25.5020411112883,17.1723806019793
LS-14696_S31_E1-50,22,#FF4DC1,-1.94364542867579,35.3631504276012
LS-14696_S32_E1-50,6,#FFA388,26.4624873340598,20.3343743631601
LS-14696_S33_E1-50,51,#A6E6A9,-7.95417229540022,-44.4312722487661
LS-14696_S34_E1-50,52,#7AE6AB,-14.0240787182013,-37.0161162271626
LS-14696_S35_E1-50,52,#7AE6AB,-13.6726154544719,-42.17356732003
LS-14696_S36_E1-50,52,#7AE6AB,-6.42191888583499,-38.6969989314607
LS-14696_S37_E1-50,52,#7AE6AB,-11.3275778135318,-38.1196216546413
LS-14696_S38_E1-50,52,#7AE6AB,-5.79434106383505,-39.818207719886
LS-14696_S39_E1-50,6,#FFA388,28.2959061202874,30.7070734687554
LS-14696_S40_E1-50,52,#7AE6AB,-11.6012570126927,-38.0573721388756
LS-14696_S41_E1-50,52,#7AE6AB,-10.9049796784609,-38.5226986794296
