state,newspaper,total,preelection,postelection,circulation,battleground,restrlaws2012,pct_black,pct_white,pct_hispanic,pct_presvote_2008,pct_massconserv,vep08_turnout,pct_alec,cases,allcases,gop_unified_state
Alabama,Birmingham News,6,4,2,103729,0,1,26.8,68.5,3.9,38.74,40.677966,61.8,9.285714286,0,16,1
Alaska,Anchorage Daily News,11,4,7,58468,0,0,4.7,66.7,5.5,37.89,36.324786,68.3,15,1,9,1
Arizona,Tucson Daily Star,1,1,0,102063,0,0,5,73,29.5,44.91,33.333333,56,37.77777778,0,7,1
Arkansas,Arkansas Democrat-Gazette,24,17,7,39215,0,0,16.1,77,6.4,38.86,38.877551,53.4,20,0,6,0
California,LA Times,20,13,7,657467,0,0,7.2,57.6,37.6,60.94,28.466125,61.7,2.5,1,56,0
Colorado,Denver Post,21,20,1,340949,1,0,5,81.3,20.7,53.66,32.385988,69.8,15,0,22,0
Connecticut,Hartford Courant,3,1,2,143510,0,0,11.3,77.6,13.4,60.59,27.272727,67.2,11.76470588,0,196,0
Delaware,Delaware State News,9,9,0,15950,0,0,22.9,68.9,8.2,61.91,30.152672,66.2,6.451612903,0,1,0
Florida,Tampa Bay Times,48,40,8,292441,1,1,17,75,22.5,50.91,32.101245,67.5,18.75,0,39,1
Georgia,Atlanta Journal & Constitution,20,16,4,211420,0,1,31.5,59.7,8.8,46.9,38.115385,61.4,18.22033898,1,301,1
Hawaii,Honolulu Star-Bulletin,15,13,2,37000,0,0,2.9,24.7,8.9,71.85,28.35249,50.5,2.631578947,0,0,0
Idaho,Idaho Statesmen,2,1,1,61000,0,0,1,89.1,11.2,35.91,34.655532,63.3,20.95238095,0,12,1
Illinois,Chicago Sun-Times,3,3,0,275641,0,1,15.4,71.5,15.8,61.86,29.72837,62.8,12.42937853,0,23,0
Indiana,Evansville Courier & Press,4,3,1,201823,0,0,10.1,84.3,6,49.85,37.612709,59.4,16.66666667,0,62,1
Iowa,Quad-City Times,22,15,7,51000,1,1,3.7,91.3,5,53.93,35.645161,69.9,10.66666667,1,49,0
Kansas,Wichita Eagle,29,19,10,90648,0,1,7.1,83.8,10.5,41.57,38.704028,62.5,29.09090909,1,216,1
Kentucky,Lexington Herald-Leader,14,10,4,96171,0,0,8.7,87.8,3.1,41.15,35.592105,57.9,22.46376812,0,69,0
Louisiana,Times-Picayune,4,2,2,166098,0,0,32.8,62.6,4.2,39.93,40.57971,62.1,22.91666667,0,4,1
Maine,Bangor Daily News,15,7,8,68156,0,1,1.6,95.2,1.3,57.71,32.840722,71.4,2.150537634,0,3,0
Maryland,Baltimore Sun,16,13,3,186639,0,0,30.9,58.2,8.2,61.92,28.47185,67.7,12.76595745,0,2,0
Massachusetts,Boston Herald,7,4,3,150688,0,0,7.8,80.4,9.6,61.8,22.754195,66.2,1.5,0,1,0
Michigan,Detroit News,8,7,1,269729,0,0,15.2,78.9,4.4,57.33,32.632808,68.9,14.86486486,0,17,1
Minnesota,Star Tribune,16,14,2,304543,0,0,6.2,85.3,4.7,54.06,29.087158,78.2,10.44776119,0,10,0
Mississippi,Sun Herald,4,2,2,47346,0,1,37.6,59.1,2.7,43,46.829268,61,17.24137931,4,74,1
Missouri,St. Louis P-D,8,8,0,213472,0,0,12.5,82.8,3.5,49.24,36.244131,68.1,12.18274112,0,17,0
Montana,Billings Gazette,9,6,3,46295,0,0,0.8,89.4,2.9,47.11,37.559809,66.3,10.66666667,0,2,0
Nebraska,Omaha World-Herald,5,3,2,142283,0,0,5.4,86.1,9.2,41.6,38.107098,62.6,34.69387755,0,2,0
Nevada,Las Vegas Review-Journal,25,14,11,175841,1,0,9.4,66.2,26.5,55.15,32.588454,58.6,7.936507937,0,2,0
