Team,Total Respondents,Total Democrats,Asian Democrat,Black Democrat,Hispanic Democrat,White Democrat,Other Democrat,Total Independents,Asian Independent,Black Independent,Hispanic Independent,White Independent,Other Independent,Total Republican,Asian Republican,Black Republican,Hispanic Republican,Republican,Other Republican,GOP%,Dem%,Ind%,White%,Nonwhite%
Arizona Cardinals,148,39,2,7,7,20,3,71,4,5,4,50,8,38,,1,5,30,2,26%,26%,48%,68%,32%
Atlanta Falcons,188,59,3,27,5,23,1,75,3,13,8,43,8,54,1,7,2,41,3,29%,31%,40%,57%,43%
Baltimore Ravens,150,56,5,14,3,30,4,65,3,7,2,46,7,29,,1,1,26,1,19%,37%,43%,68%,32%
Buffalo Bills,92,22,2,3,1,15,1,46,7,1,2,31,5,24,1,3,4,16,,26%,24%,50%,67%,33%
Carolina Panthers,164,51,4,16,3,26,2,64,3,4,4,45,8,49,3,,1,44,1,30%,31%,39%,70%,30%
Chicago Bears,285,94,5,16,8,63,2,129,9,8,6,100,6,62,2,1,4,54,1,22%,33%,45%,76%,24%
Cincinnati Bengals,106,37,,6,1,29,1,32,2,2,,27,1,37,2,3,,30,2,35%,35%,30%,81%,19%
Cleveland Browns,105,34,2,3,3,24,2,42,3,3,,35,1,29,,1,,26,2,28%,32%,40%,81%,19%
Dallas Cowboys,438,128,5,30,17,66,10,170,9,17,25,95,24,140,3,1,7,123,6,32%,29%,39%,65%,35%
Denver Broncos,313,100,4,15,7,68,6,122,3,4,7,90,18,91,,1,3,84,3,29%,32%,39%,77%,23%
Detroit Lions,133,50,2,9,2,34,3,59,,4,2,48,5,24,2,,,22,,18%,38%,44%,78%,22%
Green Bay Packers,526,171,7,21,14,122,7,230,5,8,15,183,19,125,3,,10,107,5,24%,33%,44%,78%,22%
Houston Texans,160,41,1,7,7,23,3,70,4,8,9,39,10,49,1,,4,42,2,31%,26%,44%,65%,35%
Indianapolis Colts,122,37,3,4,1,26,3,54,1,1,2,47,3,31,,1,2,27,1,25%,30%,44%,82%,18%
Jacksonville Jaguars,41,11,,2,1,7,1,18,,2,2,12,2,12,,,,12,,29%,27%,44%,76%,24%
Kansas City Chiefs,130,37,2,5,1,27,2,57,1,5,1,43,7,36,2,,2,31,1,28%,28%,44%,78%,22%
Los Angeles Rams,97,31,3,1,7,19,1,39,4,1,7,23,4,27,1,1,1,23,1,28%,32%,40%,67%,33%
Miami Dolphins,156,51,1,6,8,31,5,66,,2,5,47,12,39,1,,2,35,1,25%,33%,42%,72%,28%
Minnesota Vikings,153,51,2,6,1,39,3,63,2,4,2,51,4,39,1,1,,34,3,25%,33%,41%,81%,19%
New England Patriots,375,108,5,20,11,70,2,171,4,10,6,133,18,96,2,4,9,79,2,26%,29%,46%,75%,25%
New Orleans Saints,279,94,9,14,13,50,8,125,3,6,5,96,15,60,,,2,56,2,22%,34%,45%,72%,28%
New York Giants,239,95,5,20,5,60,5,94,5,4,8,58,19,50,,2,3,43,2,21%,40%,39%,67%,33%
New York Jets,152,57,2,13,4,35,3,60,1,4,3,43,9,35,1,1,2,30,1,23%,38%,39%,71%,29%
Oakland Raiders,199,67,4,12,8,39,4,86,6,4,14,53,9,46,1,1,6,34,4,23%,34%,43%,63%,37%
Philadelphia Eagles,187,70,7,13,6,41,3,73,5,4,8,46,10,44,2,2,,37,3,24%,37%,39%,66%,34%
Pittsburgh Steelers,339,97,1,20,8,66,2,146,4,12,11,109,10,96,1,2,3,85,5,28%,29%,43%,77%,23%
Los Angeles Chargers,153,53,3,5,6,33,6,64,5,2,7,41,9,36,1,1,2,32,,24%,35%,42%,69%,31%
San Francisco 49ers,255,103,12,10,13,61,7,105,8,4,8,70,15,47,2,2,7,35,1,18%,40%,41%,65%,35%
Seattle Seahawks,345,125,8,15,9,85,8,146,6,11,4,100,25,74,5,4,5,58,2,21%,36%,42%,70%,30%
Tampa Bay Buccaneers,105,26,1,5,2,17,1,43,1,4,3,33,2,36,1,1,1,32,1,34%,25%,41%,78%,22%
Tennessee Titans,90,26,1,7,,18,,37,2,4,,31,,27,,1,,24,2,30%,29%,41%,81%,19%
Washington Redskins,139,45,4,11,1,25,4,59,2,4,,39,14,35,2,1,3,28,1,25%,32%,42%,66%,34%
Grand Total,6364,2066,115,363,183,1292,113,2681,115,172,180,1907,307,1617,41,44,91,1380,61,25%,32%,42%,72%,28%
