Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,ReleaseDate,ReleaseMonth,Revenues,year
1,238,48,38,3,Avatar (Fox),12/18/09,Dec,760507625.00,2009
2,145,21,36,8,Titanic (Paramount),12/19/97,Dec,658672302.00,1997
3,268,22,38,7,Marvel's The Avengers (Disney),5/4/12,May,623357910.00,2012
4,268,18,42,4,The Dark Knight (Warner Bros.),7/18/08,Jul,534858444.00,2008
5,107,81,19,31,Star Wars: Episode I - The Phantom Menace (Fox),5/19/99,May,474544249.00,1999
6,63,4,15,2,Star Wars (Fox),5/25/77,May,460998882.00,1977
7,256,39,34,11,The Dark Knight Rises (Warner Bros.),7/20/12,Jul,448139099.00,2012
8,185,23,36,5,Shrek 2 (DreamWorks),5/19/04,May,441226414.00,2004
9,92,2,17,1,E.T.: The Extra-Terrestrial (Universal),6/11/82,Jun,435110890.00,1982
10,119,101,16,25,Pirates of the Caribbean: Dead Man's Chest (Disney),7/7/06,Jul,423315199.00,2006
11,84,10,14,1,The Lion King (Disney),6/15/94,Jun,422783937.00,1994
12,252,3,41,0,Toy Story 3 (Disney),6/18/10,Jun,415004880.00,2010
13,225,41,32,9,The Hunger Games (Lionsgate),3/23/12,Mar,408010692.00,2012
14,193,23,31,6,Spider-Man (Sony / Columbia),5/3/02,May,403706983.00,2002
15,49,190,7,34,Transformers: Revenge of the Fallen (Paramount / DreamWorks),6/24/09,Jun,402111347.00,2009
16,267,10,43,0,Harry Potter and the Deathly Hallows: Part 2 (Warner Bros.),7/15/11,Jul,381011219.00,2011
17,203,51,30,14,Star Wars: Episode III - Revenge of the Sith (Fox),5/19/05,May,380270448.00,2005
18,223,2,45,0,Finding Nemo (Disney),5/30/03,May,380230842.00,2003
19,230,14,43,1,The Lord of the Rings: The Return of the King (New Line),12/17/03,Dec,377027863.00,2003
20,226,16,43,2,Spider-Man 2 (Sony / Columbia),6/30/04,Jun,373524311.00,2004
21,131,135,18,31,The Passion of the Christ (Newmarket),2/25/04,Feb,370773682.00,2004
22,44,5,9,1,Jurassic Park (Universal),6/11/93,Jun,357067990.00,1993
23,85,154,10,31,Transformers: Dark of the Moon (Paramount / DreamWorks),6/28/11,Jun,352390543.00,2011
24,213,9,39,0,The Lord of the Rings: The Two Towers (New Line),12/18/02,Dec,341786621.00,2002
25,154,90,20,27,Spider-Man 3 (Sony / Columbia),5/4/07,May,336530590.00,2007
26,134,127,23,16,Alice in Wonderland (2010) (Disney),3/5/10,Mar,334191110.00,2010
27,40,16,9,4,Forrest Gump (Paramount),7/6/94,Jul,329694570.00,1994
28,84,122,19,22,Shrek the Third (Paramount / DreamWorks),5/18/07,May,322719455.00,2007
29,125,95,29,13,Transformers (Paramount / DreamWorks),7/3/07,Jul,319246139.00,2007
30,223,15,40,4,Iron Man (Paramount),5/2/08,May,318412855.00,2008
31,147,38,30,11,Harry Potter and the Sorcerer's Stone (Warner Bros.),11/16/01,Nov,317575047.00,2001
32,198,57,27,16,Indiana Jones and the Kingdom of the Crystal Skull (Paramount),5/22/08,May,317101243.00,2008
33,192,17,36,3,The Lord of the Rings: The Fellowship of the Ring (New Line),12/19/01,Dec,314776383.00,2001
34,200,68,26,14,Iron Man 2 (Paramount),5/7/10,May,312128345.00,2010
35,145,73,17,24,Star Wars: Episode II - Attack of the Clones (Fox),5/16/02,May,310676344.00,2002
36,98,121,14,28,Pirates of the Caribbean: At World's End (Disney),5/25/07,May,309420379.00,2007
37,52,14,15,4,Return of the Jedi (Fox),5/25/83,May,309306996.00,1983
38,34,22,11,6,Independence Day (Fox),7/3/96,Jul,306169262.00,1996
39,161,44,28,13,Pirates of the Caribbean: The Curse of the Black Pearl (Disney),7/9/03,Jul,305413236.00,2003
40,215,42,39,5,Harry Potter and the Half-Blood Prince (Warner Bros.),7/15/09,Jul,301959187.00,2009
41,114,119,24,14,The Twilight Saga: Eclipse (Summit),6/30/10,Jun,300531751.00,2010
42,59,159,18,26,The Twilight Saga: New Moon (Summit),11/20/09,Nov,296639747.00,2009
43,196,52,30,11,Harry Potter and the Deathly Hallows: Part 1 (Warner Bros.),11/19/10,Nov,295983305.00,2010
44,114,20,25,7,The Sixth Sense (Disney),8/6/99,Aug,293506977.00,1999
45,273,5,39,2,Up (Disney),5/29/09,May,293003689.00,2009
46,245,39,34,8,Inception (Warner Bros.),7/16/10,Jul,292576195.00,2010
47,186,53,30,13,Harry Potter and the Order of the Phoenix (Warner Bros.),7/11/07,Jul,292004517.00,2007
48,161,50,30,10,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (Disney)",12/9/05,Dec,291710571.00,2005
49,69,2,16,2,The Empire Strikes Back (Fox),5/21/80,May,290271915.00,1980
50,195,27,34,5,Harry Potter and the Goblet of Fire (Warner Bros.),11/18/05,Nov,290013999.00,2005
51,22,19,5,2,Home Alone (Fox),11/16/90,Nov,285761269.00,1990
52,173,63,31,13,The Matrix Reloaded (Warner Bros.),5/15/03,May,281553328.00,2003
53,47,145,11,27,The Twilight Saga: Breaking Dawn - Part 1 (Lionsgate / Summit),11/18/11,Nov,281287133.00,2011
54,60,97,15,24,Meet the Fockers (Universal),12/16/04,Dec,279261547.00,2004
55,172,47,28,8,The Hangover (Warner Bros.),6/5/09,Jun,277322696.00,2009
56,83,91,15,18,The Twilight Saga: Breaking Dawn - Part 2 (Lionsgate / Summit),11/16/12,Nov,276826143.00,2012
57,257,23,41,4,Skyfall (Sony / Columbia),11/8/12,Nov,271921795.00,2012
58,156,20,33,5,Shrek (DreamWorks),5/16/01,May,267665130.00,2001
59,202,74,31,10,The Amazing Spider-Man (Sony / Columbia),7/3/12,Jul,262030663.00,2012
60,169,35,27,12,Harry Potter and the Chamber of Secrets (Warner Bros.),11/15/02,Nov,261988168.00,2002
61,223,7,42,2,The Incredibles (Disney),11/5/04,Nov,261441580.00,2004
62,69,60,16,15,How the Grinch Stole Christmas (Universal),11/17/00,Nov,260044175.00,2000
63,52,0,5,0,Jaws (Universal),6/20/75,Jun,260000591.00,1975
64,279,16,42,3,Star Trek (Paramount),5/8/09,May,257730024.00,2009
65,147,64,27,18,I Am Legend (Warner Bros.),12/14/07,Dec,256393949.00,2007
66,126,64,16,10,The Blind Side (Warner Bros.),11/20/09,Nov,255959000.00,2009
67,160,8,30,4,"Monsters, Inc. (Disney)",11/2/01,Nov,255873023.00,2001
68,79,150,9,31,The Hangover Part II (Warner Bros.),5/26/11,May,254464305.00,2011
69,40,16,4,3,Batman (1989) (Warner Bros.),6/23/89,Jun,252101403.00,1989
70,153,36,29,4,Despicable Me (Universal),7/9/10,Jul,251513985.00,2010
71,57,73,13,17,Night at the Museum (Fox),12/22/06,Dec,250863213.00,2006
72,65,7,16,3,Men in Black (Sony / Columbia),7/2/97,Jul,250690756.00,1997
73,209,22,39,4,Harry Potter and the Prisoner of Azkaban (Warner Bros.),6/4/04,Jun,249538372.00,2004
74,55,3,4,2,Raiders of the Lost Ark (Paramount),6/12/81,Jun,248159971.00,1981
75,161,0,38,0,Toy Story 2 (Disney),11/19/99,Nov,245852199.00,1999
76,143,51,30,11,Cars (Disney),6/9/06,Jun,244082964.00,2006
77,89,94,21,17,Bruce Almighty (Universal),5/23/03,May,242829757.00,2003
78,30,21,8,3,Twister (1996) (Warner Bros.),5/10/96,May,241721884.00,1996
79,98,31,18,8,My Big Fat Greek Wedding (IFC Films),4/19/02,Apr,241438568.00,2002
80,84,168,11,28,Pirates of the Caribbean: On Stranger Tides (Disney),5/20/11,May,241071802.00,2011
81,49,3,3,2,Ghostbusters (Columbia),6/8/84,Jun,238632654.00,1984
82,108,80,14,19,Shrek Forever After (Paramount / DreamWorks),5/21/10,May,238395990.00,2010
83,165,47,28,12,Brave (Disney),6/22/12,Jun,237211825.00,2012
84,34,7,4,2,Beverly Hills Cop (Paramount),12/5/84,Dec,234760312.00,1984
85,130,99,23,21,X-Men: The Last Stand (Fox),5/26/06,May,234362795.00,2006
86,186,65,29,14,War of the Worlds (Paramount),6/29/05,Jun,234280479.00,2005
87,138,16,31,4,Cast Away (Fox),12/22/00,Dec,233632386.00,2000
88,33,30,7,7,The Lost World: Jurassic Park (Universal),5/23/97,May,229086940.00,1997
